18,1,13,8,8,11,11,11,11,46,46,46,46,46,46,46
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
128,96,9,100,0,0,1,1,140,,282,72,SUCCESS,1
128,96,9,100,0,0,2,1,140,,30,30,SUCCESS,-1
128,96,9,100,0,0,3,1,140,,22,22,SUCCESS,-1
128,96,9,100,0,0,4,1,140,,20,20,SUCCESS,-1
128,96,9,100,0,0,5,1,140,,16,16,SUCCESS,-1
128,96,9,100,0,0,6,1,140,,19,19,SUCCESS,-1
128,96,9,100,0,0,7,1,140,,20,20,SUCCESS,-1
128,96,9,100,0,0,8,1,140,,17,17,SUCCESS,-1
128,96,9,100,0,1,1,1,140,,66,65,SUCCESS,-1
128,96,9,100,0,1,2,1,140,,34,34,SUCCESS,-1
128,96,9,100,0,1,3,1,140,,22,22,SUCCESS,-1
128,96,9,100,0,1,4,1,140,,18,18,SUCCESS,-1
128,96,9,100,0,1,5,1,140,,20,20,SUCCESS,-1
128,96,9,100,0,1,6,1,140,,20,20,SUCCESS,-1
128,96,9,100,0,1,7,1,140,,19,19,SUCCESS,-1
128,96,9,100,0,1,8,1,140,,16,16,SUCCESS,-1
128,96,9,100,0,2,1,1,140,101,257,147,SUCCESS,-1
128,96,9,100,0,2,2,1,140,101,106,74,SUCCESS,-1
128,96,9,100,0,2,4,1,140,101,82,39,SUCCESS,-1
128,96,9,100,0,2,8,1,140,101,78,39,SUCCESS,-1
128,96,9,100,0,2,16,1,140,101,67,39,SUCCESS,-1
128,96,9,100,0,2,32,1,140,101,67,36,SUCCESS,-1
128,96,9,100,0,2,64,1,140,101,65,36,SUCCESS,-1
128,96,9,100,0,2,128,1,140,101,60,35,SUCCESS,-1
128,96,9,100,0,2,256,1,140,101,60,35,SUCCESS,-1
128,96,9,100,0,2,512,1,140,101,59,35,SUCCESS,-1
128,96,9,100,0,2,1024,1,140,101,59,35,SUCCESS,-1
128,96,9,100,0,3,1,1,140,189,157,129,SUCCESS,-1
128,96,9,100,0,3,2,1,140,189,104,83,SUCCESS,-1
128,96,9,100,0,3,4,1,140,189,83,63,SUCCESS,-1
128,96,9,100,0,3,8,1,140,189,57,41,SUCCESS,-1
128,96,9,100,0,3,16,1,140,189,70,53,SUCCESS,-1
128,96,9,100,0,3,32,1,140,189,94,76,SUCCESS,-1
128,96,9,100,0,3,64,1,140,189,91,76,SUCCESS,-1
128,96,9,100,0,3,128,1,140,189,96,76,SUCCESS,-1
128,96,9,100,0,3,256,1,140,189,98,77,SUCCESS,-1
128,96,9,100,0,3,512,1,140,189,97,77,SUCCESS,-1
128,96,9,100,0,3,1024,1,140,189,95,77,SUCCESS,-1
128,96,9,100,0,4,1,1,140,247,147,140,SUCCESS,-1
128,96,9,100,0,4,2,1,140,247,77,73,SUCCESS,-1
128,96,9,100,0,4,4,1,140,247,43,39,SUCCESS,-1
128,96,9,100,0,4,8,1,140,247,43,39,SUCCESS,-1
128,96,9,100,0,4,16,1,140,247,42,38,SUCCESS,-1
128,96,9,100,0,4,32,1,140,247,40,35,SUCCESS,-1
128,96,9,100,0,4,64,1,140,247,39,35,SUCCESS,-1
128,96,9,100,0,4,128,1,140,247,38,34,SUCCESS,-1
128,96,9,100,0,4,256,1,140,247,39,34,SUCCESS,-1
128,96,9,100,0,4,512,1,140,247,38,34,SUCCESS,-1
128,96,9,100,0,4,1024,1,140,247,40,34,SUCCESS,-1
128,96,9,100,0,5,1,1,140,247,112,108,WRONG_RESULT_FIXED,2
128,96,9,100,0,5,2,1,140,247,64,60,WRONG_RESULT_FIXED,3
128,96,9,100,0,5,4,1,140,247,39,35,WRONG_RESULT_FIXED,4
128,96,9,100,0,5,8,1,140,247,45,42,WRONG_RESULT_FIXED,5
128,96,9,100,0,5,16,1,140,247,59,56,WRONG_RESULT_FIXED,6
128,96,9,100,0,5,32,1,140,247,87,84,WRONG_RESULT_FIXED,7
128,96,9,100,0,5,64,1,140,247,96,84,WRONG_RESULT_FIXED,8
128,96,9,100,0,5,128,1,140,247,89,84,WRONG_RESULT_FIXED,9
128,96,9,100,0,5,256,1,140,247,90,86,SUCCESS,-1
128,96,9,100,0,5,512,1,140,247,89,86,SUCCESS,-1
128,96,9,100,0,5,1024,1,140,247,89,86,SUCCESS,-1
128,96,9,100,0,6,1,16,140,247,9,8,SUCCESS,-1
128,96,9,100,0,6,1,32,140,247,5,4,SUCCESS,-1
128,96,9,100,0,6,1,64,140,247,4,3,SUCCESS,-1
128,96,9,100,0,6,1,128,140,247,4,3,SUCCESS,-1
128,96,9,100,0,6,1,256,140,247,3,3,SUCCESS,-1
