9,1,25,8,8,11,11,11,11,46,46,46,46,46,46,46,1,4,46,4,4,4,1,1,1,1,1,1
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
88,240,7,200,0,0,1,1,1,408,1,154.247,154.163,SUCCESS,1
88,240,7,200,0,0,2,1,1,408,1,103.258,103.184,SUCCESS,-1
88,240,7,200,0,0,3,1,1,408,1,91.747,89.809,SUCCESS,-1
88,240,7,200,0,0,4,1,1,408,1,72.008,71.951,SUCCESS,-1
88,240,7,200,0,0,5,1,1,408,1,52.436,52.38,SUCCESS,-1
88,240,7,200,0,0,6,1,1,408,1,50.8,50.742,SUCCESS,-1
88,240,7,200,0,0,7,1,1,408,1,44.762,44.706,SUCCESS,-1
88,240,7,200,0,0,8,1,1,408,1,41.923,41.868,SUCCESS,-1
88,240,7,200,0,1,1,1,1,408,1,177.234,177.169,SUCCESS,-1
88,240,7,200,0,1,2,1,1,408,1,123.426,120.803,SUCCESS,-1
88,240,7,200,0,1,3,1,1,408,1,91.461,91.396,SUCCESS,-1
88,240,7,200,0,1,4,1,1,408,1,75.761,75.698,SUCCESS,-1
88,240,7,200,0,1,5,1,1,408,1,67.004,66.949,SUCCESS,-1
88,240,7,200,0,1,6,1,1,408,1,61.457,61.4,SUCCESS,-1
88,240,7,200,0,1,7,1,1,408,1,50.346,50.278,SUCCESS,-1
88,240,7,200,0,1,8,1,1,408,1,46.401,46.346,SUCCESS,-1
88,240,7,200,0,2,1,1,1,408,174,35.056,25.69,SUCCESS,-1
88,240,7,200,0,2,2,1,1,408,174,42.236,27.235,SUCCESS,-1
88,240,7,200,0,2,4,1,1,408,174,40.595,26.25,SUCCESS,-1
88,240,7,200,0,2,8,1,1,408,174,27.072,13.375,SUCCESS,-1
88,240,7,200,0,2,16,1,1,408,174,27.923,13.746,SUCCESS,-1
88,240,7,200,0,2,32,1,1,408,174,27.462,13.666,SUCCESS,-1
88,240,7,200,0,2,64,1,1,408,174,36.076,19.761,SUCCESS,-1
88,240,7,200,0,2,128,1,1,408,174,44.025,29.983,SUCCESS,-1
88,240,7,200,0,2,256,1,1,408,174,54.186,41.296,SUCCESS,-1
88,240,7,200,0,2,512,1,1,408,174,55.772,41.363,SUCCESS,-1
88,240,7,200,0,2,1024,1,1,408,174,53.005,39.965,SUCCESS,-1
88,240,7,200,0,3,1,1,1,408,330,35.704,27.285,SUCCESS,-1
88,240,7,200,0,3,2,1,1,408,330,32.222,26.153,SUCCESS,-1
88,240,7,200,0,3,4,1,1,408,330,34.19,28.259,SUCCESS,-1
88,240,7,200,0,3,8,1,1,408,330,18.878,12.99,SUCCESS,-1
88,240,7,200,0,3,16,1,1,408,330,19.571,13.494,SUCCESS,-1
88,240,7,200,0,3,32,1,1,408,330,22.386,14.485,SUCCESS,-1
88,240,7,200,0,3,64,1,1,408,330,21.966,16.972,SUCCESS,-1
88,240,7,200,0,3,128,1,1,408,330,27.9,22.586,SUCCESS,-1
88,240,7,200,0,3,256,1,1,408,330,40.366,34.637,SUCCESS,-1
88,240,7,200,0,3,512,1,1,408,330,54.559,49.247,SUCCESS,-1
88,240,7,200,0,3,1024,1,1,408,330,61.258,50.006,SUCCESS,-1
88,240,7,200,0,4,1,1,1,408,660,31.313,28.886,SUCCESS,-1
88,240,7,200,0,4,2,1,1,408,660,34.488,31.082,SUCCESS,-1
88,240,7,200,0,4,4,1,1,408,660,27.793,25.633,SUCCESS,-1
88,240,7,200,0,4,8,1,1,408,660,14.161,12.08,SUCCESS,-1
88,240,7,200,0,4,16,1,1,408,660,13.628,11.651,SUCCESS,-1
88,240,7,200,0,4,32,1,1,408,660,17.483,15.225,SUCCESS,-1
88,240,7,200,0,4,64,1,1,408,660,23.689,19.717,SUCCESS,-1
88,240,7,200,0,4,128,1,1,408,660,22.604,20.891,SUCCESS,-1
88,240,7,200,0,4,256,1,1,408,660,32.96,31.036,SUCCESS,-1
88,240,7,200,0,4,512,1,1,408,660,33.509,30.995,SUCCESS,-1
88,240,7,200,0,4,1024,1,1,408,660,32.762,30.952,SUCCESS,-1
88,240,7,200,0,5,1,1,1,408,660,-0,13.185,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,2,1,1,408,660,-0,13.278,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,4,1,1,408,660,-0,13.885,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,8,1,1,408,660,-0,10.248,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,16,1,1,408,660,-0,8.073,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,32,1,1,408,660,-0,8.601,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,64,1,1,408,660,-0,9.734,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,128,1,1,408,660,-0,17.15,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,256,1,1,408,660,-0,28.699,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,512,1,1,408,660,46.22,44.788,SUCCESS,-1
88,240,7,200,0,5,1024,1,1,408,660,46.849,45.235,SUCCESS,-1
88,240,7,200,0,6,1,16,1,408,660,26.571,25.693,SUCCESS,-1
88,240,7,200,0,6,1,32,1,408,660,24.916,24.27,SUCCESS,-1
88,240,7,200,0,6,1,64,1,408,660,33.612,32.736,SUCCESS,-1
88,240,7,200,0,6,1,128,1,408,660,24.781,23.916,SUCCESS,-1
88,240,7,200,0,6,1,256,1,408,660,24.901,22.537,SUCCESS,-1
88,240,7,200,0,6,1,512,1,408,660,24.768,23.964,SUCCESS,-1
88,240,7,200,0,6,1,1024,1,408,660,39.86,39.008,SUCCESS,-1
88,240,7,200,0,6,2,8,1,408,660,30.574,29.699,SUCCESS,-1
88,240,7,200,0,6,2,16,1,408,660,23.24,22.441,SUCCESS,-1
88,240,7,200,0,6,2,32,1,408,660,22.945,22.14,SUCCESS,-1
88,240,7,200,0,6,2,64,1,408,660,28.514,26.148,SUCCESS,-1
88,240,7,200,0,6,2,128,1,408,660,29.607,28.791,SUCCESS,-1
88,240,7,200,0,6,2,256,1,408,660,22.198,21.436,SUCCESS,-1
88,240,7,200,0,6,2,512,1,408,660,29.722,28.926,SUCCESS,-1
88,240,7,200,0,6,4,4,1,408,660,24.046,23.174,SUCCESS,-1
88,240,7,200,0,6,4,8,1,408,660,23.559,22.748,SUCCESS,-1
88,240,7,200,0,6,4,16,1,408,660,22.033,21.243,SUCCESS,-1
88,240,7,200,0,6,4,32,1,408,660,22.336,21.491,SUCCESS,-1
88,240,7,200,0,6,4,64,1,408,660,29.631,28.912,SUCCESS,-1
88,240,7,200,0,6,4,128,1,408,660,29.172,28.355,SUCCESS,-1
88,240,7,200,0,6,4,256,1,408,660,22.294,21.507,SUCCESS,-1
88,240,7,200,0,6,8,2,1,408,660,11.287,10.513,SUCCESS,-1
88,240,7,200,0,6,8,4,1,408,660,11.942,9.337,SUCCESS,-1
88,240,7,200,0,6,8,8,1,408,660,10.039,9.266,SUCCESS,-1
88,240,7,200,0,6,8,16,1,408,660,10.467,9.655,SUCCESS,-1
88,240,7,200,0,6,8,32,1,408,660,11.529,10.662,SUCCESS,-1
88,240,7,200,0,6,8,64,1,408,660,10.27,9.494,SUCCESS,-1
88,240,7,200,0,6,8,128,1,408,660,10.793,9.981,SUCCESS,-1
88,240,7,200,0,6,16,1,1,408,660,14.311,11.568,SUCCESS,-1
88,240,7,200,0,6,16,2,1,408,660,11.231,10.407,SUCCESS,-1
88,240,7,200,0,6,16,4,1,408,660,10.129,9.324,SUCCESS,-1
88,240,7,200,0,6,16,8,1,408,660,10.225,9.409,SUCCESS,-1
88,240,7,200,0,6,16,16,1,408,660,10.118,9.336,SUCCESS,-1
88,240,7,200,0,6,16,32,1,408,660,11.452,10.664,SUCCESS,-1
88,240,7,200,0,6,16,64,1,408,660,10.728,9.888,SUCCESS,-1
88,240,7,200,0,6,32,1,1,408,660,11.494,10.826,SUCCESS,-1
88,240,7,200,0,6,32,2,1,408,660,11.185,10.374,SUCCESS,-1
88,240,7,200,0,6,32,4,1,408,660,10.173,9.35,SUCCESS,-1
88,240,7,200,0,6,32,8,1,408,660,13.486,10.573,SUCCESS,-1
88,240,7,200,0,6,32,16,1,408,660,12.524,11.817,SUCCESS,-1
88,240,7,200,0,6,32,32,1,408,660,11.776,10.995,SUCCESS,-1
88,240,7,200,0,6,64,1,1,408,660,11.576,10.775,SUCCESS,-1
88,240,7,200,0,6,64,2,1,408,660,14.139,13.35,SUCCESS,-1
88,240,7,200,0,6,64,4,1,408,660,11.681,10.871,SUCCESS,-1
88,240,7,200,0,6,64,8,1,408,660,12.511,11.631,SUCCESS,-1
88,240,7,200,0,6,64,16,1,408,660,12.474,10.037,SUCCESS,-1
88,240,7,200,0,7,1,16,1,408,660,22.385,20.106,SUCCESS,-1
88,240,7,200,0,7,1,32,1,408,660,22.872,22.032,SUCCESS,-1
88,240,7,200,0,7,1,64,1,408,660,24.837,23.993,SUCCESS,-1
88,240,7,200,0,7,1,128,1,408,660,26.353,25.354,SUCCESS,-1
88,240,7,200,0,7,1,256,1,408,660,25.409,24.568,SUCCESS,-1
88,240,7,200,0,7,1,512,1,408,660,20.471,19.651,SUCCESS,-1
88,240,7,200,0,7,1,1024,1,408,660,20.388,19.587,SUCCESS,-1
88,240,7,200,0,7,2,8,1,408,660,20.963,20.154,SUCCESS,-1
88,240,7,200,0,7,2,16,1,408,660,23.916,23.119,SUCCESS,-1
88,240,7,200,0,7,2,32,1,408,660,33.021,22.164,SUCCESS,-1
88,240,7,200,0,7,2,64,1,408,660,22.141,21.325,SUCCESS,-1
88,240,7,200,0,7,2,128,1,408,660,22.911,22.08,SUCCESS,-1
88,240,7,200,0,7,2,256,1,408,660,22.184,21.354,SUCCESS,-1
88,240,7,200,0,7,2,512,1,408,660,20.584,19.781,SUCCESS,-1
88,240,7,200,0,7,4,4,1,408,660,21.704,20.788,SUCCESS,-1
88,240,7,200,0,7,4,8,1,408,660,20.427,19.625,SUCCESS,-1
88,240,7,200,0,7,4,16,1,408,660,26.704,25.918,SUCCESS,-1
88,240,7,200,0,7,4,32,1,408,660,22.27,21.486,SUCCESS,-1
88,240,7,200,0,7,4,64,1,408,660,21.812,21.032,SUCCESS,-1
88,240,7,200,0,7,4,128,1,408,660,20.76,19.954,SUCCESS,-1
88,240,7,200,0,7,4,256,1,408,660,28.788,23.032,SUCCESS,-1
88,240,7,200,0,7,8,2,1,408,660,11.96,11.176,SUCCESS,-1
88,240,7,200,0,7,8,4,1,408,660,10.401,9.582,SUCCESS,-1
88,240,7,200,0,7,8,8,1,408,660,10.44,9.639,SUCCESS,-1
88,240,7,200,0,7,8,16,1,408,660,12.815,11.903,SUCCESS,-1
88,240,7,200,0,7,8,32,1,408,660,10.742,9.955,SUCCESS,-1
88,240,7,200,0,7,8,64,1,408,660,12.624,10.061,SUCCESS,-1
88,240,7,200,0,7,8,128,1,408,660,12.158,11.357,SUCCESS,-1
88,240,7,200,0,7,16,1,1,408,660,12.675,11.901,SUCCESS,-1
88,240,7,200,0,7,16,2,1,408,660,12.051,11.268,SUCCESS,-1
88,240,7,200,0,7,16,4,1,408,660,11.647,10.825,SUCCESS,-1
88,240,7,200,0,7,16,8,1,408,660,10.74,9.925,SUCCESS,-1
88,240,7,200,0,7,16,16,1,408,660,11.062,10.299,SUCCESS,-1
88,240,7,200,0,7,16,32,1,408,660,11.06,10.252,SUCCESS,-1
88,240,7,200,0,7,16,64,1,408,660,11.271,10.487,SUCCESS,-1
88,240,7,200,0,7,32,1,1,408,660,10.728,9.968,SUCCESS,-1
88,240,7,200,0,7,32,2,1,408,660,12.172,11.271,SUCCESS,-1
88,240,7,200,0,7,32,4,1,408,660,13.605,10.795,SUCCESS,-1
88,240,7,200,0,7,32,8,1,408,660,13.69,12.839,SUCCESS,-1
88,240,7,200,0,7,32,16,1,408,660,11.305,10.485,SUCCESS,-1
88,240,7,200,0,7,32,32,1,408,660,12.321,11.482,SUCCESS,-1
88,240,7,200,0,7,64,1,1,408,660,13.906,11.278,SUCCESS,-1
88,240,7,200,0,7,64,2,1,408,660,11.733,10.97,SUCCESS,-1
88,240,7,200,0,7,64,4,1,408,660,10.81,10.089,SUCCESS,-1
88,240,7,200,0,7,64,8,1,408,660,11.076,10.273,SUCCESS,-1
88,240,7,200,0,7,64,16,1,408,660,11.548,10.734,SUCCESS,-1
88,240,7,200,0,8,1,16,1,408,660,38.279,36.963,SUCCESS,-1
88,240,7,200,0,8,1,32,1,408,660,38.274,36.899,SUCCESS,-1
88,240,7,200,0,8,1,64,1,408,660,38.052,36.833,SUCCESS,-1
88,240,7,200,0,8,1,128,1,408,660,45.035,41.808,SUCCESS,-1
88,240,7,200,0,8,1,256,1,408,660,38.151,36.95,SUCCESS,-1
88,240,7,200,0,8,1,512,1,408,660,42.942,41.636,SUCCESS,-1
88,240,7,200,0,8,1,1024,1,408,660,38.438,37.22,SUCCESS,-1
88,240,7,200,0,8,2,8,1,408,660,42.827,39.921,SUCCESS,-1
88,240,7,200,0,8,2,16,1,408,660,43.845,42.605,SUCCESS,-1
88,240,7,200,0,8,2,32,1,408,660,42.615,41.263,SUCCESS,-1
88,240,7,200,0,8,2,64,1,408,660,38.12,36.901,SUCCESS,-1
88,240,7,200,0,8,2,128,1,408,660,40.171,38.913,SUCCESS,-1
88,240,7,200,0,8,2,256,1,408,660,43.243,42.017,SUCCESS,-1
88,240,7,200,0,8,2,512,1,408,660,45.996,42.74,SUCCESS,-1
88,240,7,200,0,8,4,4,1,408,660,38.192,36.984,SUCCESS,-1
88,240,7,200,0,8,4,8,1,408,660,41.353,40.079,SUCCESS,-1
88,240,7,200,0,8,4,16,1,408,660,41.304,38.358,SUCCESS,-1
88,240,7,200,0,8,4,32,1,408,660,39.29,37.908,SUCCESS,-1
88,240,7,200,0,8,4,64,1,408,660,42.747,41.517,SUCCESS,-1
88,240,7,200,0,8,4,128,1,408,660,41.187,39.938,SUCCESS,-1
88,240,7,200,0,8,4,256,1,408,660,41.821,40.56,SUCCESS,-1
88,240,7,200,0,8,8,2,1,408,660,41.918,40.552,SUCCESS,-1
88,240,7,200,0,8,8,4,1,408,660,38.9,37.479,SUCCESS,-1
88,240,7,200,0,8,8,8,1,408,660,38.109,36.865,SUCCESS,-1
88,240,7,200,0,8,8,16,1,408,660,38.185,36.949,SUCCESS,-1
88,240,7,200,0,8,8,32,1,408,660,40.699,37.811,SUCCESS,-1
88,240,7,200,0,8,8,64,1,408,660,38.638,37.398,SUCCESS,-1
88,240,7,200,0,8,8,128,1,408,660,38.751,37.499,SUCCESS,-1
88,240,7,200,0,8,16,1,1,408,660,40.277,37.512,SUCCESS,-1
88,240,7,200,0,8,16,2,1,408,660,40.004,37.148,SUCCESS,-1
88,240,7,200,0,8,16,4,1,408,660,43.667,42.364,SUCCESS,-1
88,240,7,200,0,8,16,8,1,408,660,39.238,37.98,SUCCESS,-1
88,240,7,200,0,8,16,16,1,408,660,39.332,37.947,SUCCESS,-1
88,240,7,200,0,8,16,32,1,408,660,42.48,40.763,SUCCESS,-1
88,240,7,200,0,8,16,64,1,408,660,40.309,38.985,SUCCESS,-1
88,240,7,200,0,8,32,1,1,408,660,52.305,50.865,SUCCESS,-1
88,240,7,200,0,8,32,2,1,408,660,38.22,36.991,SUCCESS,-1
88,240,7,200,0,8,32,4,1,408,660,39.953,38.687,SUCCESS,-1
88,240,7,200,0,8,32,8,1,408,660,41.904,40.548,SUCCESS,-1
88,240,7,200,0,8,32,16,1,408,660,48.231,46.824,SUCCESS,-1
88,240,7,200,0,8,32,32,1,408,660,45.68,44.341,SUCCESS,-1
88,240,7,200,0,8,64,1,1,408,660,44.365,42.904,SUCCESS,-1
88,240,7,200,0,8,64,2,1,408,660,38.519,37.307,SUCCESS,-1
88,240,7,200,0,8,64,4,1,408,660,38.52,37.281,SUCCESS,-1
88,240,7,200,0,8,64,8,1,408,660,38.995,37.717,SUCCESS,-1
88,240,7,200,0,8,64,16,1,408,660,40.338,38.966,SUCCESS,-1
88,240,7,200,0,9,1,16,1,408,660,43.432,42.184,SUCCESS,-1
88,240,7,200,0,9,1,32,1,408,660,37.702,36.497,SUCCESS,-1
88,240,7,200,0,9,1,64,1,408,660,42.404,41.094,SUCCESS,-1
88,240,7,200,0,9,1,128,1,408,660,38.45,37.219,SUCCESS,-1
88,240,7,200,0,9,1,256,1,408,660,39.229,37.991,SUCCESS,-1
88,240,7,200,0,9,1,512,1,408,660,44.025,42.762,SUCCESS,-1
88,240,7,200,0,9,1,1024,1,408,660,41.23,39.953,SUCCESS,-1
88,240,7,200,0,9,2,8,1,408,660,41.366,40.097,SUCCESS,-1
88,240,7,200,0,9,2,16,1,408,660,37.819,36.58,SUCCESS,-1
88,240,7,200,0,9,2,32,1,408,660,41.561,40.351,SUCCESS,-1
88,240,7,200,0,9,2,64,1,408,660,37.895,36.662,SUCCESS,-1
88,240,7,200,0,9,2,128,1,408,660,43.072,41.724,SUCCESS,-1
88,240,7,200,0,9,2,256,1,408,660,38.299,37.027,SUCCESS,-1
88,240,7,200,0,9,2,512,1,408,660,44.359,43.097,SUCCESS,-1
88,240,7,200,0,9,4,4,1,408,660,37.856,36.591,SUCCESS,-1
88,240,7,200,0,9,4,8,1,408,660,38.194,36.968,SUCCESS,-1
88,240,7,200,0,9,4,16,1,408,660,37.888,36.637,SUCCESS,-1
88,240,7,200,0,9,4,32,1,408,660,38.786,37.547,SUCCESS,-1
88,240,7,200,0,9,4,64,1,408,660,38.291,37.055,SUCCESS,-1
88,240,7,200,0,9,4,128,1,408,660,42.37,39.328,SUCCESS,-1
88,240,7,200,0,9,4,256,1,408,660,38.309,37.046,SUCCESS,-1
88,240,7,200,0,9,8,2,1,408,660,42.551,41.288,SUCCESS,-1
88,240,7,200,0,9,8,4,1,408,660,37.61,36.368,SUCCESS,-1
88,240,7,200,0,9,8,8,1,408,660,39.435,36.584,SUCCESS,-1
88,240,7,200,0,9,8,16,1,408,660,37.985,36.695,SUCCESS,-1
88,240,7,200,0,9,8,32,1,408,660,38.078,36.822,SUCCESS,-1
88,240,7,200,0,9,8,64,1,408,660,38.433,37.194,SUCCESS,-1
88,240,7,200,0,9,8,128,1,408,660,39.903,38.632,SUCCESS,-1
88,240,7,200,0,9,16,1,1,408,660,37.847,36.597,SUCCESS,-1
88,240,7,200,0,9,16,2,1,408,660,40.932,39.602,SUCCESS,-1
88,240,7,200,0,9,16,4,1,408,660,37.665,36.414,SUCCESS,-1
88,240,7,200,0,9,16,8,1,408,660,37.734,36.53,SUCCESS,-1
88,240,7,200,0,9,16,16,1,408,660,39.691,36.665,SUCCESS,-1
88,240,7,200,0,9,16,32,1,408,660,39.254,38.017,SUCCESS,-1
88,240,7,200,0,9,16,64,1,408,660,39.811,38.567,SUCCESS,-1
88,240,7,200,0,9,32,1,1,408,660,37.898,36.644,SUCCESS,-1
88,240,7,200,0,9,32,2,1,408,660,37.75,36.517,SUCCESS,-1
88,240,7,200,0,9,32,4,1,408,660,38.87,37.621,SUCCESS,-1
88,240,7,200,0,9,32,8,1,408,660,39.497,38.156,SUCCESS,-1
88,240,7,200,0,9,32,16,1,408,660,40.47,39.175,SUCCESS,-1
88,240,7,200,0,9,32,32,1,408,660,61.983,50.865,SUCCESS,-1
88,240,7,200,0,9,64,1,1,408,660,37.776,36.527,SUCCESS,-1
88,240,7,200,0,9,64,2,1,408,660,40.687,36.857,SUCCESS,-1
88,240,7,200,0,9,64,4,1,408,660,39.525,38.271,SUCCESS,-1
88,240,7,200,0,9,64,8,1,408,660,40.101,38.844,SUCCESS,-1
88,240,7,200,0,9,64,16,1,408,660,43.085,41.795,SUCCESS,-1
88,240,7,200,0,10,1,16,1,408,660,42.112,40.746,SUCCESS,-1
88,240,7,200,0,10,1,32,1,408,660,44.285,42.911,SUCCESS,-1
88,240,7,200,0,10,1,64,1,408,660,41.952,40.54,SUCCESS,-1
