96,1,20,46,46,46,4,4,46,46,46,4,4,46,46,46,4,4,46,46,46,4,4
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,FACET_COUNT,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
88,240,7,408,10,0,0,1,16,1,443,2.247,1.509,SUCCESS,-1
88,240,7,408,10,0,0,1,32,1,443,2.204,1.504,SUCCESS,-1
88,240,7,408,10,0,0,1,64,1,443,2.095,1.423,SUCCESS,-1
88,240,7,408,10,0,0,1,128,1,443,2.204,1.545,SUCCESS,-1
88,240,7,408,10,0,0,1,256,1,443,2.174,1.508,SUCCESS,-1
88,240,7,408,10,0,0,1,512,1,443,2.177,1.54,SUCCESS,-1
88,240,7,408,10,0,0,1,1024,1,443,2.15,1.511,SUCCESS,-1
88,240,7,408,10,0,0,2,8,1,443,2.182,1.553,SUCCESS,-1
88,240,7,408,10,0,0,2,16,1,443,2.28,1.61,SUCCESS,-1
88,240,7,408,10,0,0,2,32,1,443,2.266,1.612,SUCCESS,-1
88,240,7,408,10,0,0,2,64,1,443,2.265,1.52,SUCCESS,-1
88,240,7,408,10,0,0,2,128,1,443,2.205,1.516,SUCCESS,-1
88,240,7,408,10,0,0,2,256,1,443,2.264,1.586,SUCCESS,-1
88,240,7,408,10,0,0,2,512,1,443,2.142,1.503,SUCCESS,-1
88,240,7,408,10,0,0,4,4,1,443,2.165,1.549,SUCCESS,-1
88,240,7,408,10,0,0,4,8,1,443,2.136,1.511,SUCCESS,-1
88,240,7,408,10,0,0,4,16,1,443,2.279,1.622,SUCCESS,-1
88,240,7,408,10,0,0,4,32,1,443,2.435,1.748,SUCCESS,-1
88,240,7,408,10,0,0,4,64,1,443,2.037,1.365,SUCCESS,-1
88,240,7,408,10,0,0,4,128,1,443,2.191,1.538,SUCCESS,-1
88,240,7,408,10,0,0,4,256,1,443,2.215,1.532,SUCCESS,-1
88,240,7,408,10,0,0,8,2,1,443,1.305,0.608,SUCCESS,-1
88,240,7,408,10,0,0,8,4,1,443,1.094,0.453,SUCCESS,-1
88,240,7,408,10,0,0,8,8,1,443,1.146,0.45,SUCCESS,-1
88,240,7,408,10,0,0,8,16,1,443,1.176,0.527,SUCCESS,-1
88,240,7,408,10,0,0,8,32,1,443,1.105,0.437,SUCCESS,-1
88,240,7,408,10,0,0,8,64,1,443,1.195,0.497,SUCCESS,-1
88,240,7,408,10,0,0,8,128,1,443,1.118,0.45,SUCCESS,-1
88,240,7,408,10,0,0,16,1,1,443,1.092,0.446,SUCCESS,1
88,240,7,408,10,0,0,16,2,1,443,1.077,0.439,SUCCESS,-1
88,240,7,408,10,0,0,16,4,1,443,1.093,0.437,SUCCESS,-1
88,240,7,408,10,0,0,16,8,1,443,1.085,0.447,SUCCESS,-1
88,240,7,408,10,0,0,16,16,1,443,1.112,0.463,SUCCESS,-1
88,240,7,408,10,0,0,16,32,1,443,1.125,0.453,SUCCESS,-1
88,240,7,408,10,0,0,16,64,1,443,1.265,0.457,SUCCESS,-1
88,240,7,408,10,0,0,32,1,1,443,1.108,0.49,SUCCESS,-1
88,240,7,408,10,0,0,32,2,1,443,1.07,0.439,SUCCESS,-1
