64,1,25,8,8,11,11,11,11,46,46,46,46,46,46,46,1,4,46,4,4,4,1,1,1,1,1,1
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
128,96,9,100,0,0,1,1,1,140,1,40.645,40.593,SUCCESS,1
128,96,9,100,0,0,2,1,1,140,1,40.078,39.992,SUCCESS,-1
128,96,9,100,0,0,3,1,1,140,1,21.844,21.807,SUCCESS,-1
128,96,9,100,0,0,4,1,1,140,1,17.6,17.56,SUCCESS,-1
128,96,9,100,0,0,5,1,1,140,1,14.487,14.453,SUCCESS,-1
128,96,9,100,0,0,6,1,1,140,1,18.607,18.573,SUCCESS,-1
128,96,9,100,0,0,7,1,1,140,1,16.346,16.313,SUCCESS,-1
128,96,9,100,0,0,8,1,1,140,1,15.133,15.102,SUCCESS,-1
128,96,9,100,0,1,1,1,1,140,1,40.899,40.87,SUCCESS,-1
128,96,9,100,0,1,2,1,1,140,1,27.723,27.688,SUCCESS,-1
128,96,9,100,0,1,3,1,1,140,1,21.262,21.224,SUCCESS,-1
128,96,9,100,0,1,4,1,1,140,1,18.574,18.54,SUCCESS,-1
128,96,9,100,0,1,5,1,1,140,1,18.312,18.279,SUCCESS,-1
128,96,9,100,0,1,6,1,1,140,1,13.414,13.377,SUCCESS,-1
128,96,9,100,0,1,7,1,1,140,1,17.94,17.907,SUCCESS,-1
128,96,9,100,0,1,8,1,1,140,1,16.057,16.018,SUCCESS,-1
128,96,9,100,0,2,1,1,1,140,101,11.397,7.568,SUCCESS,-1
128,96,9,100,0,2,2,1,1,140,101,11.141,7.462,SUCCESS,-1
128,96,9,100,0,2,4,1,1,140,101,11.47,7.545,SUCCESS,-1
128,96,9,100,0,2,8,1,1,140,101,7.704,4.106,SUCCESS,-1
128,96,9,100,0,2,16,1,1,140,101,7.672,4.006,SUCCESS,-1
128,96,9,100,0,2,32,1,1,140,101,7.801,4.061,SUCCESS,-1
128,96,9,100,0,2,64,1,1,140,101,10.887,6.63,SUCCESS,-1
128,96,9,100,0,2,128,1,1,140,101,14.94,10.371,SUCCESS,-1
128,96,9,100,0,2,256,1,1,140,101,15.035,10.566,SUCCESS,-1
