27,1,25,8,8,11,11,11,11,46,46,46,46,46,46,46,1,4,46,4,4,4,1,1,1,1,1,1
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
128,96,9,100,0,0,1,1,1,140,1,40.756,40.705,SUCCESS,1
128,96,9,100,0,0,2,1,1,140,1,27.341,27.306,SUCCESS,-1
128,96,9,100,0,0,3,1,1,140,1,20.537,20.502,SUCCESS,-1
128,96,9,100,0,0,4,1,1,140,1,16.653,16.62,SUCCESS,-1
128,96,9,100,0,0,5,1,1,140,1,20.776,20.745,SUCCESS,-1
128,96,9,100,0,0,6,1,1,140,1,19.415,19.377,SUCCESS,-1
128,96,9,100,0,0,7,1,1,140,1,16.535,16.499,SUCCESS,-1
128,96,9,100,0,0,8,1,1,140,1,15.042,15.009,SUCCESS,-1
128,96,9,100,0,1,1,1,1,140,1,40.749,40.72,SUCCESS,-1
128,96,9,100,0,1,2,1,1,140,1,27.668,27.633,SUCCESS,-1
128,96,9,100,0,1,3,1,1,140,1,21.045,21.005,SUCCESS,-1
128,96,9,100,0,1,4,1,1,140,1,20.141,20.105,SUCCESS,-1
128,96,9,100,0,1,5,1,1,140,1,15.471,15.437,SUCCESS,-1
128,96,9,100,0,1,6,1,1,140,1,18.776,18.726,SUCCESS,-1
128,96,9,100,0,1,7,1,1,140,1,17.376,17.343,SUCCESS,-1
128,96,9,100,0,1,8,1,1,140,1,15.15,15.117,SUCCESS,-1
128,96,9,100,0,2,1,1,1,140,101,11.125,7.711,SUCCESS,-1
128,96,9,100,0,2,2,1,1,140,101,11.102,7.726,SUCCESS,-1
128,96,9,100,0,2,4,1,1,140,101,11.131,7.775,SUCCESS,-1
128,96,9,100,0,2,8,1,1,140,101,7.453,4.126,SUCCESS,-1
128,96,9,100,0,2,16,1,1,140,101,7.944,4.269,SUCCESS,-1
128,96,9,100,0,2,32,1,1,140,101,7.534,4.116,SUCCESS,-1
128,96,9,100,0,2,64,1,1,140,101,10.436,6.508,SUCCESS,-1
128,96,9,100,0,2,128,1,1,140,101,14.207,10.378,SUCCESS,-1
128,96,9,100,0,2,256,1,1,140,101,14.593,10.735,SUCCESS,-1
128,96,9,100,0,2,512,1,1,140,101,14.09,10.289,SUCCESS,-1
128,96,9,100,0,2,1024,1,1,140,101,14.273,10.4,SUCCESS,-1
128,96,9,100,0,3,1,1,1,140,189,10.095,7.807,SUCCESS,-1
128,96,9,100,0,3,2,1,1,140,189,23.531,7.613,SUCCESS,-1
128,96,9,100,0,3,4,1,1,140,189,9.92,7.674,SUCCESS,-1
128,96,9,100,0,3,8,1,1,140,189,7.091,4.689,SUCCESS,-1
128,96,9,100,0,3,16,1,1,140,189,7.694,5.179,SUCCESS,-1
128,96,9,100,0,3,32,1,1,140,189,7.713,5.365,SUCCESS,-1
128,96,9,100,0,3,64,1,1,140,189,9.43,6.934,SUCCESS,-1
128,96,9,100,0,3,128,1,1,140,189,14.871,12.275,SUCCESS,-1
128,96,9,100,0,3,256,1,1,140,189,80.72,14.014,SUCCESS,-1
128,96,9,100,0,3,512,1,1,140,189,17.654,14.228,SUCCESS,-1
128,96,9,100,0,3,1024,1,1,140,189,18.046,14.786,SUCCESS,-1
128,96,9,100,0,4,1,1,1,140,247,9.12,8.269,SUCCESS,-1
128,96,9,100,0,4,2,1,1,140,247,9.109,8.214,SUCCESS,-1
128,96,9,100,0,4,4,1,1,140,247,9.377,8.474,SUCCESS,-1
128,96,9,100,0,4,8,1,1,140,247,5.091,4.213,SUCCESS,-1
128,96,9,100,0,4,16,1,1,140,247,6.399,3.976,SUCCESS,-1
128,96,9,100,0,4,32,1,1,140,247,5.088,4.231,SUCCESS,-1
128,96,9,100,0,4,64,1,1,140,247,7.291,6.437,SUCCESS,-1
128,96,9,100,0,4,128,1,1,140,247,10.578,9.813,SUCCESS,-1
128,96,9,100,0,4,256,1,1,140,247,10.258,9.478,SUCCESS,-1
128,96,9,100,0,4,512,1,1,140,247,10.315,9.498,SUCCESS,-1
128,96,9,100,0,4,1024,1,1,140,247,11.682,10.769,SUCCESS,-1
128,96,9,100,0,5,1,1,1,140,247,-0,7.531,WRONG_RESULT_FIXED,0
128,96,9,100,0,5,2,1,1,140,247,-0,5.803,WRONG_RESULT_FIXED,0
128,96,9,100,0,5,4,1,1,140,247,-0,5.815,WRONG_RESULT_FIXED,0
128,96,9,100,0,5,8,1,1,140,247,-0,3.702,WRONG_RESULT_FIXED,0
128,96,9,100,0,5,16,1,1,140,247,-0,3.776,WRONG_RESULT_FIXED,0
128,96,9,100,0,5,32,1,1,140,247,-0,4.247,WRONG_RESULT_FIXED,0
128,96,9,100,0,5,64,1,1,140,247,-0,6.95,WRONG_RESULT_FIXED,0
128,96,9,100,0,5,128,1,1,140,247,-0,11.685,WRONG_RESULT_FIXED,0
128,96,9,100,0,5,256,1,1,140,247,13.924,13.209,SUCCESS,-1
128,96,9,100,0,5,512,1,1,140,247,13.749,13.054,SUCCESS,-1
128,96,9,100,0,5,1024,1,1,140,247,13.782,13.062,SUCCESS,-1
128,96,9,100,0,6,1,16,1,140,247,8.789,8.287,SUCCESS,-1
128,96,9,100,0,6,1,32,1,140,247,9.166,8.553,SUCCESS,-1
128,96,9,100,0,6,1,64,1,140,247,9.16,8.643,SUCCESS,-1
128,96,9,100,0,6,1,128,1,140,247,8.884,8.396,SUCCESS,-1
128,96,9,100,0,6,1,256,1,140,247,8.924,8.35,SUCCESS,-1
128,96,9,100,0,6,1,512,1,140,247,9.02,8.449,SUCCESS,-1
128,96,9,100,0,6,1,1024,1,140,247,8.968,8.476,SUCCESS,-1
128,96,9,100,0,6,2,8,1,140,247,8.901,8.331,SUCCESS,-1
128,96,9,100,0,6,2,16,1,140,247,8.904,8.336,SUCCESS,-1
128,96,9,100,0,6,2,32,1,140,247,8.968,8.449,SUCCESS,-1
128,96,9,100,0,6,2,64,1,140,247,8.869,8.359,SUCCESS,-1
128,96,9,100,0,6,2,128,1,140,247,8.8,8.284,SUCCESS,-1
128,96,9,100,0,6,2,256,1,140,247,9.021,8.502,SUCCESS,-1
128,96,9,100,0,6,2,512,1,140,247,8.988,8.417,SUCCESS,-1
128,96,9,100,0,6,4,4,1,140,247,8.941,8.424,SUCCESS,-1
128,96,9,100,0,6,4,8,1,140,247,8.965,8.424,SUCCESS,-1
128,96,9,100,0,6,4,16,1,140,247,9.006,8.509,SUCCESS,-1
128,96,9,100,0,6,4,32,1,140,247,9.029,8.538,SUCCESS,-1
128,96,9,100,0,6,4,64,1,140,247,9.092,8.53,SUCCESS,-1
128,96,9,100,0,6,4,128,1,140,247,9.36,8.847,SUCCESS,-1
128,96,9,100,0,6,4,256,1,140,247,9.171,8.641,SUCCESS,-1
128,96,9,100,0,6,8,2,1,140,247,3.876,3.362,SUCCESS,-1
128,96,9,100,0,6,8,4,1,140,247,3.769,3.25,SUCCESS,-1
128,96,9,100,0,6,8,8,1,140,247,3.711,3.214,SUCCESS,-1
128,96,9,100,0,6,8,16,1,140,247,3.762,3.267,SUCCESS,-1
128,96,9,100,0,6,8,32,1,140,247,3.841,3.319,SUCCESS,-1
128,96,9,100,0,6,8,64,1,140,247,4.288,3.754,SUCCESS,-1
128,96,9,100,0,6,8,128,1,140,247,4.217,3.721,SUCCESS,-1
128,96,9,100,0,6,16,1,1,140,247,3.838,3.295,SUCCESS,-1
128,96,9,100,0,6,16,2,1,140,247,3.792,3.254,SUCCESS,-1
128,96,9,100,0,6,16,4,1,140,247,3.825,3.302,SUCCESS,-1
128,96,9,100,0,6,16,8,1,140,247,3.762,3.244,SUCCESS,-1
128,96,9,100,0,6,16,16,1,140,247,3.995,3.494,SUCCESS,-1
128,96,9,100,0,6,16,32,1,140,247,3.973,3.469,SUCCESS,-1
128,96,9,100,0,6,16,64,1,140,247,4.137,3.634,SUCCESS,-1
128,96,9,100,0,6,32,1,1,140,247,4.119,3.593,SUCCESS,-1
128,96,9,100,0,6,32,2,1,140,247,3.73,3.213,SUCCESS,-1
128,96,9,100,0,6,32,4,1,140,247,4.147,3.644,SUCCESS,-1
128,96,9,100,0,6,32,8,1,140,247,3.986,3.477,SUCCESS,-1
128,96,9,100,0,6,32,16,1,140,247,3.873,3.369,SUCCESS,-1
128,96,9,100,0,6,32,32,1,140,247,4.003,3.505,SUCCESS,-1
128,96,9,100,0,6,64,1,1,140,247,3.895,3.398,SUCCESS,-1
128,96,9,100,0,6,64,2,1,140,247,3.76,3.243,SUCCESS,-1
128,96,9,100,0,6,64,4,1,140,247,3.858,3.33,SUCCESS,-1
128,96,9,100,0,6,64,8,1,140,247,3.921,3.384,SUCCESS,-1
128,96,9,100,0,6,64,16,1,140,247,3.808,3.291,SUCCESS,-1
128,96,9,100,0,7,1,16,1,140,247,7.067,6.492,SUCCESS,-1
128,96,9,100,0,7,1,32,1,140,247,6.917,6.399,SUCCESS,-1
128,96,9,100,0,7,1,64,1,140,247,7.035,6.49,SUCCESS,-1
128,96,9,100,0,7,1,128,1,140,247,7.009,6.475,SUCCESS,-1
128,96,9,100,0,7,1,256,1,140,247,6.956,6.453,SUCCESS,-1
128,96,9,100,0,7,1,512,1,140,247,7.251,6.704,SUCCESS,-1
128,96,9,100,0,7,1,1024,1,140,247,6.908,6.409,SUCCESS,-1
128,96,9,100,0,7,2,8,1,140,247,6.935,6.397,SUCCESS,-1
128,96,9,100,0,7,2,16,1,140,247,7.113,6.53,SUCCESS,-1
128,96,9,100,0,7,2,32,1,140,247,7.018,6.463,SUCCESS,-1
128,96,9,100,0,7,2,64,1,140,247,7.073,6.581,SUCCESS,-1
128,96,9,100,0,7,2,128,1,140,247,6.883,6.395,SUCCESS,-1
128,96,9,100,0,7,2,256,1,140,247,7.087,6.585,SUCCESS,-1
128,96,9,100,0,7,2,512,1,140,247,6.908,6.383,SUCCESS,-1
128,96,9,100,0,7,4,4,1,140,247,6.991,6.45,SUCCESS,-1
128,96,9,100,0,7,4,8,1,140,247,7.007,6.514,SUCCESS,-1
128,96,9,100,0,7,4,16,1,140,247,7.017,6.492,SUCCESS,-1
128,96,9,100,0,7,4,32,1,140,247,7.144,6.619,SUCCESS,-1
128,96,9,100,0,7,4,64,1,140,247,7.626,7.118,SUCCESS,-1
128,96,9,100,0,7,4,128,1,140,247,7.181,6.694,SUCCESS,-1
128,96,9,100,0,7,4,256,1,140,247,7.012,6.504,SUCCESS,-1
128,96,9,100,0,7,8,2,1,140,247,3.868,3.334,SUCCESS,-1
128,96,9,100,0,7,8,4,1,140,247,3.849,3.324,SUCCESS,-1
128,96,9,100,0,7,8,8,1,140,247,3.794,3.299,SUCCESS,-1
128,96,9,100,0,7,8,16,1,140,247,3.917,3.386,SUCCESS,-1
128,96,9,100,0,7,8,32,1,140,247,4.24,3.726,SUCCESS,-1
128,96,9,100,0,7,8,64,1,140,247,3.911,3.389,SUCCESS,-1
128,96,9,100,0,7,8,128,1,140,247,4.182,3.697,SUCCESS,-1
128,96,9,100,0,7,16,1,1,140,247,3.862,3.305,SUCCESS,-1
128,96,9,100,0,7,16,2,1,140,247,3.894,3.375,SUCCESS,-1
