9,1,25,8,8,11,11,11,11,46,46,46,46,46,46,46,1,6,46,6,6,6,1,1,1,1,1,1
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
88,240,7,200,0,0,1,1,1,408,1,142.362,142.285,SUCCESS,1
88,240,7,200,0,0,2,1,1,408,1,94.547,94.471,SUCCESS,-1
88,240,7,200,0,0,3,1,1,408,1,70.857,70.716,SUCCESS,-1
88,240,7,200,0,0,4,1,1,408,1,64.971,64.9,SUCCESS,-1
88,240,7,200,0,0,5,1,1,408,1,77.256,77.071,SUCCESS,-1
88,240,7,200,0,0,6,1,1,408,1,48.943,48.836,SUCCESS,-1
88,240,7,200,0,0,7,1,1,408,1,36.552,36.467,SUCCESS,-1
88,240,7,200,0,0,8,1,1,408,1,37.48,37.399,SUCCESS,-1
88,240,7,200,0,1,1,1,1,408,1,159.264,159.185,SUCCESS,-1
88,240,7,200,0,1,2,1,1,408,1,112.258,112.182,SUCCESS,-1
88,240,7,200,0,1,3,1,1,408,1,83.462,83.364,SUCCESS,-1
88,240,7,200,0,1,4,1,1,408,1,65.736,65.611,SUCCESS,-1
88,240,7,200,0,1,5,1,1,408,1,61.767,61.667,SUCCESS,-1
88,240,7,200,0,1,6,1,1,408,1,52.027,51.929,SUCCESS,-1
88,240,7,200,0,1,7,1,1,408,1,54.597,54.511,SUCCESS,-1
88,240,7,200,0,1,8,1,1,408,1,41.673,41.58,SUCCESS,-1
88,240,7,200,0,2,1,1,1,408,174,296.691,233.475,SUCCESS,-1
88,240,7,200,0,2,2,1,1,408,174,170.907,120.655,SUCCESS,-1
88,240,7,200,0,2,4,1,1,408,174,114.242,64.749,SUCCESS,-1
88,240,7,200,0,2,8,1,1,408,174,112.599,61.64,SUCCESS,-1
88,240,7,200,0,2,16,1,1,408,174,107.24,58.855,SUCCESS,-1
88,240,7,200,0,2,32,1,1,408,174,98.383,54.803,SUCCESS,-1
88,240,7,200,0,2,64,1,1,408,174,97.183,51.964,SUCCESS,-1
88,240,7,200,0,2,128,1,1,408,174,93.843,50.298,SUCCESS,-1
88,240,7,200,0,2,256,1,1,408,174,96.773,52.799,SUCCESS,-1
88,240,7,200,0,2,512,1,1,408,174,103.867,52.807,SUCCESS,-1
88,240,7,200,0,2,1024,1,1,408,174,104.993,52.805,SUCCESS,-1
88,240,7,200,0,3,1,1,1,408,330,250.761,216.311,SUCCESS,-1
88,240,7,200,0,3,2,1,1,408,330,166.261,130.336,SUCCESS,-1
88,240,7,200,0,3,4,1,1,408,330,106.747,75.408,SUCCESS,-1
88,240,7,200,0,3,8,1,1,408,330,72.546,48.775,SUCCESS,-1
88,240,7,200,0,3,16,1,1,408,330,79.787,58.398,SUCCESS,-1
88,240,7,200,0,3,32,1,1,408,330,106.758,83.641,SUCCESS,-1
88,240,7,200,0,3,64,1,1,408,330,111.038,83.663,SUCCESS,-1
88,240,7,200,0,3,128,1,1,408,330,109.931,83.634,SUCCESS,-1
88,240,7,200,0,3,256,1,1,408,330,124.164,89.495,SUCCESS,-1
88,240,7,200,0,3,512,1,1,408,330,147.565,115.958,SUCCESS,-1
88,240,7,200,0,3,1024,1,1,408,330,150.609,116.197,SUCCESS,-1
88,240,7,200,0,4,1,1,1,408,660,241.774,237.877,SUCCESS,-1
88,240,7,200,0,4,2,1,1,408,660,128.726,123.808,SUCCESS,-1
88,240,7,200,0,4,4,1,1,408,660,70.86,66.468,SUCCESS,-1
88,240,7,200,0,4,8,1,1,408,660,66.942,63.123,SUCCESS,-1
88,240,7,200,0,4,16,1,1,408,660,64.739,61.027,SUCCESS,-1
88,240,7,200,0,4,32,1,1,408,660,60.014,56.202,SUCCESS,-1
88,240,7,200,0,4,64,1,1,408,660,55.969,52.029,SUCCESS,-1
88,240,7,200,0,4,128,1,1,408,660,56.766,52.385,SUCCESS,-1
88,240,7,200,0,4,256,1,1,408,660,57.82,53.941,SUCCESS,-1
88,240,7,200,0,4,512,1,1,408,660,57.71,54.02,SUCCESS,-1
88,240,7,200,0,4,1024,1,1,408,660,57.749,54.03,SUCCESS,-1
88,240,7,200,0,5,1,1,1,408,660,122.314,119.803,SUCCESS,-1
88,240,7,200,0,5,2,1,1,408,660,69.013,66.357,SUCCESS,-1
88,240,7,200,0,5,4,1,1,408,660,41.073,38.527,SUCCESS,-1
88,240,7,200,0,5,8,1,1,408,660,45.369,42.838,SUCCESS,-1
88,240,7,200,0,5,16,1,1,408,660,57.218,54.805,SUCCESS,-1
88,240,7,200,0,5,32,1,1,408,660,84.207,81.754,SUCCESS,-1
88,240,7,200,0,5,64,1,1,408,660,84.331,81.989,SUCCESS,-1
88,240,7,200,0,5,128,1,1,408,660,85.162,82.742,SUCCESS,-1
88,240,7,200,0,5,256,1,1,408,660,90.669,88.248,SUCCESS,-1
88,240,7,200,0,5,512,1,1,408,660,118.266,115.775,SUCCESS,-1
88,240,7,200,0,5,1024,1,1,408,660,118.207,115.81,SUCCESS,-1
88,240,7,200,0,6,1,16,1,408,660,13.092,12.038,SUCCESS,-1
88,240,7,200,0,6,1,32,1,408,660,8.041,6.887,SUCCESS,-1
88,240,7,200,0,6,1,64,1,408,660,6.368,5.472,SUCCESS,-1
88,240,7,200,0,6,1,128,1,408,660,5.842,4.763,SUCCESS,-1
88,240,7,200,0,6,1,256,1,408,660,5.616,4.652,SUCCESS,-1
88,240,7,200,0,6,1,512,1,408,660,5.801,4.829,SUCCESS,-1
88,240,7,200,0,6,1,1024,1,408,660,8.41,7.42,SUCCESS,-1
88,240,7,200,0,6,2,8,1,408,660,14.578,13.658,SUCCESS,-1
88,240,7,200,0,6,2,16,1,408,660,26.815,7.853,SUCCESS,-1
88,240,7,200,0,6,2,32,1,408,660,7.778,6.747,SUCCESS,-1
88,240,7,200,0,6,2,64,1,408,660,7.109,6.124,SUCCESS,-1
88,240,7,200,0,6,2,128,1,408,660,7.086,6.121,SUCCESS,-1
88,240,7,200,0,6,2,256,1,408,660,7.427,6.449,SUCCESS,-1
88,240,7,200,0,6,2,512,1,408,660,7.722,6.743,SUCCESS,-1
88,240,7,200,0,6,4,4,1,408,660,17.289,16.152,SUCCESS,-1
88,240,7,200,0,6,4,8,1,408,660,10.633,9.703,SUCCESS,-1
88,240,7,200,0,6,4,16,1,408,660,9.851,8.895,SUCCESS,-1
88,240,7,200,0,6,4,32,1,408,660,13.409,8.655,SUCCESS,-1
88,240,7,200,0,6,4,64,1,408,660,9.66,8.721,SUCCESS,-1
