48,1,17,8,8,11,11,11,11,46,46,46,46,46,46,46,46,46,1,6
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
128,96,9,100,0,0,1,1,140,,122.257,85.278,SUCCESS,1
128,96,9,100,0,0,2,1,140,,30.828,30.779,SUCCESS,-1
128,96,9,100,0,0,3,1,140,,22.249,22.192,SUCCESS,-1
128,96,9,100,0,0,4,1,140,,23.621,23.568,SUCCESS,-1
128,96,9,100,0,0,5,1,140,,23.308,23.26,SUCCESS,-1
128,96,9,100,0,0,6,1,140,,19.585,19.533,SUCCESS,-1
128,96,9,100,0,0,7,1,140,,13.699,13.636,SUCCESS,-1
128,96,9,100,0,0,8,1,140,,17.782,17.722,SUCCESS,-1
128,96,9,100,0,1,1,1,140,,66.248,65.172,SUCCESS,-1
128,96,9,100,0,1,2,1,140,,35.204,35.138,SUCCESS,-1
128,96,9,100,0,1,3,1,140,,22.455,22.412,SUCCESS,-1
128,96,9,100,0,1,4,1,140,,22.6,22.562,SUCCESS,-1
128,96,9,100,0,1,5,1,140,,20.664,20.621,SUCCESS,-1
128,96,9,100,0,1,6,1,140,,20.868,20.826,SUCCESS,-1
128,96,9,100,0,1,7,1,140,,18.305,18.252,SUCCESS,-1
128,96,9,100,0,1,8,1,140,,16.817,16.762,SUCCESS,-1
128,96,9,100,0,2,1,1,140,101,272.995,145.242,SUCCESS,-1
128,96,9,100,0,2,2,1,140,101,103.961,74.907,SUCCESS,-1
128,96,9,100,0,2,4,1,140,101,67.082,39.921,SUCCESS,-1
128,96,9,100,0,2,8,1,140,101,64.61,40.425,SUCCESS,-1
128,96,9,100,0,2,16,1,140,101,64.432,38.992,SUCCESS,-1
128,96,9,100,0,2,32,1,140,101,61.865,35.972,SUCCESS,-1
128,96,9,100,0,2,64,1,140,101,63.89,35.88,SUCCESS,-1
128,96,9,100,0,2,128,1,140,101,59.787,35.541,SUCCESS,-1
128,96,9,100,0,2,256,1,140,101,62.481,35.502,SUCCESS,-1
128,96,9,100,0,2,512,1,140,101,60.177,35.517,SUCCESS,-1
128,96,9,100,0,2,1024,1,140,101,60.378,35.516,SUCCESS,-1
128,96,9,100,0,3,1,1,140,189,152.91,129.927,SUCCESS,-1
128,96,9,100,0,3,2,1,140,189,104.247,83.391,SUCCESS,-1
128,96,9,100,0,3,4,1,140,189,85.161,63.115,SUCCESS,-1
128,96,9,100,0,3,8,1,140,189,61.373,41.114,SUCCESS,-1
128,96,9,100,0,3,16,1,140,189,71.273,53.05,SUCCESS,-1
128,96,9,100,0,3,32,1,140,189,95.363,75.094,SUCCESS,-1
128,96,9,100,0,3,64,1,140,189,94.543,75.621,SUCCESS,-1
128,96,9,100,0,3,128,1,140,189,94.201,75.692,SUCCESS,-1
128,96,9,100,0,3,256,1,140,189,96.497,75.808,SUCCESS,-1
128,96,9,100,0,3,512,1,140,189,97.593,75.816,SUCCESS,-1
128,96,9,100,0,3,1024,1,140,189,97.332,75.82,SUCCESS,-1
128,96,9,100,0,4,1,1,140,247,146.586,140.202,SUCCESS,-1
128,96,9,100,0,4,2,1,140,247,77.74,73.261,SUCCESS,-1
128,96,9,100,0,4,4,1,140,247,43.735,39.255,SUCCESS,-1
128,96,9,100,0,4,8,1,140,247,44.386,39.831,SUCCESS,-1
128,96,9,100,0,4,16,1,140,247,43.136,38.471,SUCCESS,-1
128,96,9,100,0,4,32,1,140,247,39.599,35.323,SUCCESS,-1
128,96,9,100,0,4,64,1,140,247,39.631,35.204,SUCCESS,-1
128,96,9,100,0,4,128,1,140,247,38.933,34.502,SUCCESS,-1
128,96,9,100,0,4,256,1,140,247,38.9,34.504,SUCCESS,-1
128,96,9,100,0,4,512,1,140,247,38.916,34.498,SUCCESS,-1
128,96,9,100,0,4,1024,1,140,247,38.828,34.509,SUCCESS,-1
128,96,9,100,0,5,1,1,140,247,113.929,108.376,WRONG_RESULT_FIXED,2
128,96,9,100,0,5,2,1,140,247,64.462,60.424,WRONG_RESULT_FIXED,3
128,96,9,100,0,5,4,1,140,247,39.157,35.53,WRONG_RESULT_FIXED,4
128,96,9,100,0,5,8,1,140,247,46.185,42.51,WRONG_RESULT_FIXED,5
128,96,9,100,0,5,16,1,140,247,59.484,56.018,WRONG_RESULT_FIXED,6
128,96,9,100,0,5,32,1,140,247,86.309,82.759,WRONG_RESULT_FIXED,7
128,96,9,100,0,5,64,1,140,247,86.372,82.756,WRONG_RESULT_FIXED,8
128,96,9,100,0,5,128,1,140,247,86.527,83.078,WRONG_RESULT_FIXED,9
128,96,9,100,0,5,256,1,140,247,87.72,83.969,SUCCESS,-1
128,96,9,100,0,5,512,1,140,247,87.666,83.981,SUCCESS,-1
128,96,9,100,0,5,1024,1,140,247,86.911,83.97,SUCCESS,-1
128,96,9,100,0,6,1,16,140,247,9.192,8.187,SUCCESS,-1
128,96,9,100,0,6,1,32,140,247,5.84,4.829,SUCCESS,-1
128,96,9,100,0,6,1,64,140,247,4.187,3.326,SUCCESS,-1
128,96,9,100,0,6,1,128,140,247,3.999,2.99,SUCCESS,-1
128,96,9,100,0,6,1,256,140,247,3.945,3.057,SUCCESS,-1
128,96,9,100,0,6,1,512,140,247,4.169,3.261,SUCCESS,-1
128,96,9,100,0,6,1,1024,140,247,9.76,8.805,SUCCESS,-1
128,96,9,100,0,6,2,8,140,247,10.141,9.225,SUCCESS,-1
128,96,9,100,0,6,2,16,140,247,6.425,5.538,SUCCESS,-1
128,96,9,100,0,6,2,32,140,247,5.615,4.677,SUCCESS,-1
128,96,9,100,0,6,2,64,140,247,5.247,4.347,SUCCESS,-1
128,96,9,100,0,6,2,128,140,247,5.297,4.362,SUCCESS,-1
128,96,9,100,0,6,2,256,140,247,5.608,4.682,SUCCESS,-1
128,96,9,100,0,6,2,512,140,247,7.335,6.401,SUCCESS,-1
128,96,9,100,0,6,4,4,140,247,11.69,10.83,SUCCESS,-1
128,96,9,100,0,6,4,8,140,247,7.794,6.897,SUCCESS,-1
128,96,9,100,0,6,4,16,140,247,7.377,6.485,SUCCESS,-1
128,96,9,100,0,6,4,32,140,247,7.103,6.162,SUCCESS,-1
128,96,9,100,0,6,4,64,140,247,7.156,6.276,SUCCESS,-1
128,96,9,100,0,6,4,128,140,247,7.244,6.216,SUCCESS,-1
128,96,9,100,0,6,4,256,140,247,7.456,6.524,SUCCESS,-1
128,96,9,100,0,6,8,2,140,247,14.307,13.377,SUCCESS,-1
128,96,9,100,0,6,8,4,140,247,9.497,8.608,SUCCESS,-1
128,96,9,100,0,6,8,8,140,247,9.664,8.393,SUCCESS,-1
128,96,9,100,0,6,8,16,140,247,9.264,8.302,SUCCESS,-1
128,96,9,100,0,6,8,32,140,247,9.55,8.547,SUCCESS,-1
128,96,9,100,0,6,8,64,140,247,9.196,8.238,SUCCESS,-1
128,96,9,100,0,6,8,128,140,247,9.855,8.911,SUCCESS,-1
128,96,9,100,0,6,16,1,140,247,18.34,17.231,SUCCESS,-1
128,96,9,100,0,6,16,2,140,247,12.082,11.188,SUCCESS,-1
128,96,9,100,0,6,16,4,140,247,11.716,10.886,SUCCESS,-1
128,96,9,100,0,6,16,8,140,247,11.972,11.063,SUCCESS,-1
128,96,9,100,0,6,16,16,140,247,12.72,11.637,SUCCESS,-1
128,96,9,100,0,6,16,32,140,247,12.534,11.541,SUCCESS,-1
128,96,9,100,0,6,16,64,140,247,12.964,11.997,SUCCESS,-1
128,96,9,100,0,6,32,1,140,247,16.627,15.654,SUCCESS,-1
128,96,9,100,0,6,32,2,140,247,15.993,15.111,SUCCESS,-1
128,96,9,100,0,6,32,4,140,247,15.957,15.136,SUCCESS,-1
128,96,9,100,0,6,32,8,140,247,16.047,15.042,SUCCESS,-1
128,96,9,100,0,6,32,16,140,247,16.627,15.392,SUCCESS,-1
128,96,9,100,0,6,32,32,140,247,16.961,15.574,SUCCESS,-1
128,96,9,100,0,6,64,1,140,247,16.823,15.837,SUCCESS,-1
128,96,9,100,0,6,64,2,140,247,16.212,15.311,SUCCESS,-1
128,96,9,100,0,6,64,4,140,247,16.563,15.701,SUCCESS,-1
128,96,9,100,0,6,64,8,140,247,16.42,15.369,SUCCESS,-1
128,96,9,100,0,6,64,16,140,247,17.162,16.128,SUCCESS,-1
128,96,9,100,0,7,1,16,140,247,10.654,9.791,SUCCESS,-1
128,96,9,100,0,7,1,32,140,247,6.684,5.757,SUCCESS,-1
128,96,9,100,0,7,1,64,140,247,4.697,3.759,SUCCESS,-1
128,96,9,100,0,7,1,128,140,247,4.094,3.217,SUCCESS,-1
128,96,9,100,0,7,1,256,140,247,4.27,3.315,SUCCESS,-1
128,96,9,100,0,7,1,512,140,247,4.556,3.606,SUCCESS,-1
128,96,9,100,0,7,1,1024,140,247,11.571,10.63,SUCCESS,-1
128,96,9,100,0,7,2,8,140,247,11.604,10.692,SUCCESS,-1
128,96,9,100,0,7,2,16,140,247,7.238,6.394,SUCCESS,-1
128,96,9,100,0,7,2,32,140,247,6.039,5.114,SUCCESS,-1
128,96,9,100,0,7,2,64,140,247,5.775,4.474,SUCCESS,-1
