1,1,25,8,8,11,11,11,11,46,46,46,46,46,46,46,1,6,46,6,6,6,1,1,1,1,1,1
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
128,96,21,100,0,0,1,1,1,24,1,65.077,61.226,SUCCESS,1
128,96,21,100,0,0,2,1,1,24,1,26.717,26.674,SUCCESS,-1
128,96,21,100,0,0,3,1,1,24,1,20.159,20.116,SUCCESS,-1
128,96,21,100,0,0,4,1,1,24,1,20.356,20.303,SUCCESS,-1
128,96,21,100,0,0,5,1,1,24,1,16.822,16.762,SUCCESS,-1
128,96,21,100,0,0,6,1,1,24,1,20.634,20.571,SUCCESS,-1
128,96,21,100,0,0,7,1,1,24,1,13.225,13.18,SUCCESS,-1
128,96,21,100,0,0,8,1,1,24,1,19.978,19.927,SUCCESS,-1
128,96,21,100,0,1,1,1,1,24,1,58.411,57.272,SUCCESS,-1
128,96,21,100,0,1,2,1,1,24,1,32.435,32.38,SUCCESS,-1
128,96,21,100,0,1,3,1,1,24,1,22.345,22.313,SUCCESS,-1
128,96,21,100,0,1,4,1,1,24,1,16.468,16.433,SUCCESS,-1
128,96,21,100,0,1,5,1,1,24,1,14.927,14.893,SUCCESS,-1
128,96,21,100,0,1,6,1,1,24,1,15.293,15.254,SUCCESS,-1
128,96,21,100,0,1,7,1,1,24,1,13.791,13.754,SUCCESS,-1
128,96,21,100,0,1,8,1,1,24,1,16.269,16.226,SUCCESS,-1
128,96,21,100,0,2,1,1,1,24,104,167.593,137.245,SUCCESS,-1
128,96,21,100,0,2,2,1,1,24,104,82.58,68.919,SUCCESS,-1
128,96,21,100,0,2,4,1,1,24,104,50.922,36.379,SUCCESS,-1
128,96,21,100,0,2,8,1,1,24,104,49.809,36.633,SUCCESS,-1
128,96,21,100,0,2,16,1,1,24,104,46.717,36.877,SUCCESS,-1
128,96,21,100,0,2,32,1,1,24,104,43.012,37.51,SUCCESS,-1
128,96,21,100,0,2,64,1,1,24,104,43.818,37.889,SUCCESS,-1
128,96,21,100,0,2,128,1,1,24,104,43.575,37.818,SUCCESS,-1
128,96,21,100,0,2,256,1,1,24,104,43.553,37.82,SUCCESS,-1
128,96,21,100,0,2,512,1,1,24,104,43.843,37.816,SUCCESS,-1
128,96,21,100,0,2,1024,1,1,24,104,44.382,37.799,SUCCESS,-1
128,96,21,100,0,3,1,1,1,24,183,164.644,144.966,SUCCESS,-1
128,96,21,100,0,3,2,1,1,24,183,173.806,152.567,SUCCESS,-1
128,96,21,100,0,3,4,1,1,24,183,190.444,169.441,SUCCESS,-1
128,96,21,100,0,3,8,1,1,24,183,229.219,207.855,SUCCESS,-1
128,96,21,100,0,3,16,1,1,24,183,299.123,277.522,SUCCESS,-1
128,96,21,100,0,3,32,1,1,24,183,371.997,350.513,SUCCESS,-1
128,96,21,100,0,3,64,1,1,24,183,372.825,350.705,SUCCESS,-1
128,96,21,100,0,3,128,1,1,24,183,374.792,350.586,SUCCESS,-1
128,96,21,100,0,3,256,1,1,24,183,372.253,350.541,SUCCESS,-1
128,96,21,100,0,3,512,1,1,24,183,372.597,350.566,SUCCESS,-1
128,96,21,100,0,3,1024,1,1,24,183,371.666,350.581,SUCCESS,-1
128,96,21,100,0,4,1,1,1,24,194,137.073,135.077,SUCCESS,-1
128,96,21,100,0,4,2,1,1,24,194,71.069,69.297,SUCCESS,-1
128,96,21,100,0,4,4,1,1,24,194,38.86,36.617,SUCCESS,-1
128,96,21,100,0,4,8,1,1,24,194,38.471,36.821,SUCCESS,-1
128,96,21,100,0,4,16,1,1,24,194,38.904,37.158,SUCCESS,-1
128,96,21,100,0,4,32,1,1,24,194,39.127,37.42,SUCCESS,-1
128,96,21,100,0,4,64,1,1,24,194,39.656,37.809,SUCCESS,-1
128,96,21,100,0,4,128,1,1,24,194,39.705,38.01,SUCCESS,-1
128,96,21,100,0,4,256,1,1,24,194,39.655,37.98,SUCCESS,-1
128,96,21,100,0,4,512,1,1,24,194,39.66,38.001,SUCCESS,-1
128,96,21,100,0,4,1024,1,1,24,194,39.716,37.993,SUCCESS,-1
128,96,21,100,0,5,1,1,1,24,194,148.192,145.188,SUCCESS,-1
128,96,21,100,0,5,2,1,1,24,194,156.001,152.797,SUCCESS,-1
128,96,21,100,0,5,4,1,1,24,194,172.784,169.757,SUCCESS,-1
128,96,21,100,0,5,8,1,1,24,194,211.178,208.095,SUCCESS,-1
128,96,21,100,0,5,16,1,1,24,194,280.965,277.947,SUCCESS,-1
128,96,21,100,0,5,32,1,1,24,194,353.581,350.729,SUCCESS,-1
128,96,21,100,0,5,64,1,1,24,194,353.678,350.746,SUCCESS,-1
128,96,21,100,0,5,128,1,1,24,194,353.741,350.856,SUCCESS,-1
128,96,21,100,0,5,256,1,1,24,194,353.86,350.868,SUCCESS,-1
128,96,21,100,0,5,512,1,1,24,194,354.143,350.858,SUCCESS,-1
128,96,21,100,0,5,1024,1,1,24,194,353.801,350.868,SUCCESS,-1
128,96,21,100,0,6,1,16,1,24,194,9.324,8.296,SUCCESS,-1
128,96,21,100,0,6,1,32,1,24,194,5.45,4.477,SUCCESS,-1
128,96,21,100,0,6,1,64,1,24,194,4.713,3.737,SUCCESS,-1
128,96,21,100,0,6,1,128,1,24,194,3.677,2.781,SUCCESS,-1
128,96,21,100,0,6,1,256,1,24,194,4.407,3.484,SUCCESS,-1
128,96,21,100,0,6,1,512,1,24,194,4.653,3.802,SUCCESS,-1
128,96,21,100,0,6,1,1024,1,24,194,9.356,8.359,SUCCESS,-1
128,96,21,100,0,6,2,8,1,24,194,9.448,8.505,SUCCESS,-1
128,96,21,100,0,6,2,16,1,24,194,6.357,5.447,SUCCESS,-1
128,96,21,100,0,6,2,32,1,24,194,6.033,5.029,SUCCESS,-1
128,96,21,100,0,6,2,64,1,24,194,4.936,3.955,SUCCESS,-1
128,96,21,100,0,6,2,128,1,24,194,4.82,3.935,SUCCESS,-1
128,96,21,100,0,6,2,256,1,24,194,6.136,5.159,SUCCESS,-1
128,96,21,100,0,6,2,512,1,24,194,6.671,5.659,SUCCESS,-1
128,96,21,100,0,6,4,4,1,24,194,11.501,10.498,SUCCESS,-1
128,96,21,100,0,6,4,8,1,24,194,7.97,7.014,SUCCESS,-1
128,96,21,100,0,6,4,16,1,24,194,7.618,6.642,SUCCESS,-1
128,96,21,100,0,6,4,32,1,24,194,6.567,5.561,SUCCESS,-1
128,96,21,100,0,6,4,64,1,24,194,6.573,5.592,SUCCESS,-1
128,96,21,100,0,6,4,128,1,24,194,6.528,5.522,SUCCESS,-1
128,96,21,100,0,6,4,256,1,24,194,8.661,7.666,SUCCESS,-1
128,96,21,100,0,6,8,2,1,24,194,13.919,12.935,SUCCESS,-1
128,96,21,100,0,6,8,4,1,24,194,10.502,9.551,SUCCESS,-1
128,96,21,100,0,6,8,8,1,24,194,10.93,9.684,SUCCESS,-1
128,96,21,100,0,6,8,16,1,24,194,8.996,8.074,SUCCESS,-1
128,96,21,100,0,6,8,32,1,24,194,9.593,8.629,SUCCESS,-1
