1,1,25,8,8,10,10,10,10,39,39,39,39,39,39,39,1,6,39,6,6,6,1,1,1,1,1,1
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
128,96,21,100,0,0,1,1,1,24,1,41.119,41.08,SUCCESS,1
128,96,21,100,0,0,2,1,1,24,1,27.91,27.858,SUCCESS,-1
128,96,21,100,0,0,3,1,1,24,1,28.08,28.035,SUCCESS,-1
128,96,21,100,0,0,4,1,1,24,1,26.347,26.305,SUCCESS,-1
128,96,21,100,0,0,5,1,1,24,1,14.26,14.229,SUCCESS,-1
128,96,21,100,0,0,6,1,1,24,1,16.416,16.383,SUCCESS,-1
128,96,21,100,0,0,7,1,1,24,1,13.389,13.355,SUCCESS,-1
128,96,21,100,0,0,8,1,1,24,1,18.264,18.222,SUCCESS,-1
128,96,21,100,0,1,1,1,1,24,1,42.004,41.967,SUCCESS,-1
128,96,21,100,0,1,2,1,1,24,1,25.753,25.716,SUCCESS,-1
128,96,21,100,0,1,3,1,1,24,1,19.932,19.901,SUCCESS,-1
128,96,21,100,0,1,4,1,1,24,1,15.596,15.563,SUCCESS,-1
128,96,21,100,0,1,5,1,1,24,1,14.345,14.308,SUCCESS,-1
128,96,21,100,0,1,6,1,1,24,1,13.321,13.288,SUCCESS,-1
128,96,21,100,0,1,7,1,1,24,1,14.079,14.046,SUCCESS,-1
128,96,21,100,0,1,8,1,1,24,1,12.472,12.438,SUCCESS,-1
128,96,21,100,0,2,1,1,1,24,104,176.01,48.036,SUCCESS,-1
128,96,21,100,0,2,2,1,1,24,104,73.876,31.89,SUCCESS,-1
128,96,21,100,0,2,4,1,1,24,104,61.025,24.924,SUCCESS,-1
128,96,21,100,0,2,8,1,1,24,104,57.895,22.69,SUCCESS,-1
128,96,21,100,0,2,16,1,1,24,104,68.962,26.511,SUCCESS,-1
128,96,21,100,0,2,32,1,1,24,104,69.472,26.261,SUCCESS,-1
128,96,21,100,0,2,64,1,1,24,104,68.627,26.574,SUCCESS,-1
128,96,21,100,0,2,128,1,1,24,104,67.945,27.635,SUCCESS,-1
128,96,21,100,0,2,256,1,1,24,104,70.218,27.618,SUCCESS,-1
128,96,21,100,0,2,512,1,1,24,104,78.139,27.421,SUCCESS,-1
128,96,21,100,0,3,1,1,1,24,183,229.322,147.952,SUCCESS,-1
128,96,21,100,0,3,2,1,1,24,183,177.613,108.01,SUCCESS,-1
128,96,21,100,0,3,4,1,1,24,183,159.943,93.125,SUCCESS,-1
128,96,21,100,0,3,8,1,1,24,183,159.123,96.13,SUCCESS,-1
128,96,21,100,0,3,16,1,1,24,183,182.58,115.897,SUCCESS,-1
128,96,21,100,0,3,32,1,1,24,183,185.37,116.301,SUCCESS,-1
128,96,21,100,0,3,64,1,1,24,183,189.937,114.155,SUCCESS,-1
128,96,21,100,0,3,128,1,1,24,183,206.115,126.979,SUCCESS,-1
128,96,21,100,0,3,256,1,1,24,183,199.153,118.855,SUCCESS,-1
128,96,21,100,0,3,512,1,1,24,183,221.639,118.024,SUCCESS,-1
128,96,21,100,0,4,1,1,1,24,194,156.682,49.12,SUCCESS,-1
128,96,21,100,0,4,2,1,1,24,194,74.354,32.576,SUCCESS,-1
128,96,21,100,0,4,4,1,1,24,194,57.214,25.336,SUCCESS,-1
128,96,21,100,0,4,8,1,1,24,194,52.704,23.298,SUCCESS,-1
