32,1,28,46,46,46,4,46,46,46,4,46,46,46,4,46,46,46,4,46,46,46,4,46,46,46,4,46,46,46,4
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,FACET_COUNT,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
88,240,7,408,10,0,0,1,16,1,443,2.177,1.53,SUCCESS,-1
88,240,7,408,10,0,0,1,32,1,443,5.863,2.181,SUCCESS,-1
88,240,7,408,10,0,0,1,64,1,443,2.218,1.557,SUCCESS,-1
88,240,7,408,10,0,0,1,128,1,443,2.223,1.57,SUCCESS,-1
88,240,7,408,10,0,0,1,256,1,443,2.293,1.569,SUCCESS,-1
88,240,7,408,10,0,0,1,512,1,443,2.197,1.539,SUCCESS,-1
88,240,7,408,10,0,0,1,1024,1,443,2.19,1.518,SUCCESS,-1
88,240,7,408,10,0,0,2,8,1,443,2.18,1.527,SUCCESS,-1
88,240,7,408,10,0,0,2,16,1,443,2.189,1.532,SUCCESS,-1
88,240,7,408,10,0,0,2,32,1,443,2.145,1.521,SUCCESS,-1
88,240,7,408,10,0,0,2,64,1,443,2.693,2.015,SUCCESS,-1
88,240,7,408,10,0,0,2,128,1,443,2.178,1.519,SUCCESS,-1
88,240,7,408,10,0,0,2,256,1,443,2.322,1.586,SUCCESS,-1
88,240,7,408,10,0,0,2,512,1,443,2.216,1.56,SUCCESS,-1
88,240,7,408,10,0,0,4,4,1,443,2.22,1.513,SUCCESS,-1
88,240,7,408,10,0,0,4,8,1,443,2.545,1.881,SUCCESS,-1
88,240,7,408,10,0,0,4,16,1,443,2.195,1.534,SUCCESS,-1
88,240,7,408,10,0,0,4,32,1,443,2.993,2.238,SUCCESS,-1
88,240,7,408,10,0,0,4,64,1,443,2.199,1.551,SUCCESS,-1
88,240,7,408,10,0,0,4,128,1,443,2.413,1.754,SUCCESS,-1
88,240,7,408,10,0,0,4,256,1,443,2.234,1.558,SUCCESS,-1
88,240,7,408,10,0,0,8,2,1,443,1.147,0.485,SUCCESS,-1
88,240,7,408,10,0,0,8,4,1,443,1.163,0.452,SUCCESS,-1
88,240,7,408,10,0,0,8,8,1,443,1.112,0.438,SUCCESS,-1
88,240,7,408,10,0,0,8,16,1,443,1.147,0.485,SUCCESS,-1
88,240,7,408,10,0,0,8,32,1,443,1.153,0.486,SUCCESS,-1
88,240,7,408,10,0,0,8,64,1,443,1.114,0.434,SUCCESS,-1
88,240,7,408,10,0,0,8,128,1,443,1.154,0.437,SUCCESS,-1
88,240,7,408,10,0,0,16,1,1,443,1.22,0.458,SUCCESS,1
88,240,7,408,10,0,0,16,2,1,443,1.11,0.438,SUCCESS,-1
88,240,7,408,10,0,0,16,4,1,443,1.165,0.444,SUCCESS,-1
88,240,7,408,10,0,0,16,8,1,443,1.145,0.461,SUCCESS,-1
88,240,7,408,10,0,0,16,16,1,443,1.114,0.462,SUCCESS,-1
88,240,7,408,10,0,0,16,32,1,443,1.149,0.463,SUCCESS,-1
88,240,7,408,10,0,0,16,64,1,443,1.108,0.461,SUCCESS,-1
88,240,7,408,10,0,0,32,1,1,443,1.171,0.45,SUCCESS,-1
88,240,7,408,10,0,0,32,2,1,443,1.103,0.443,SUCCESS,-1
88,240,7,408,10,0,0,32,4,1,443,1.19,0.529,SUCCESS,-1
88,240,7,408,10,0,0,32,8,1,443,1.152,0.478,SUCCESS,-1
88,240,7,408,10,0,0,32,16,1,443,1.149,0.487,SUCCESS,-1
88,240,7,408,10,0,0,32,32,1,443,1.185,0.502,SUCCESS,-1
88,240,7,408,10,0,0,64,1,1,443,1.109,0.45,SUCCESS,-1
88,240,7,408,10,0,0,64,2,1,443,1.194,0.45,SUCCESS,-1
88,240,7,408,10,0,0,64,4,1,443,1.077,0.433,SUCCESS,-1
88,240,7,408,10,0,0,64,8,1,443,1.147,0.452,SUCCESS,-1
88,240,7,408,10,0,0,64,16,1,443,1.19,0.52,SUCCESS,-1
88,240,7,408,10,0,1,1,16,1,443,3.591,2.329,SUCCESS,-1
88,240,7,408,10,0,1,1,32,1,443,3.835,2.585,SUCCESS,-1
88,240,7,408,10,0,1,1,64,1,443,4.707,3.322,SUCCESS,-1
88,240,7,408,10,0,1,1,128,1,443,3.68,2.388,SUCCESS,-1
88,240,7,408,10,0,1,1,256,1,443,3.626,2.387,SUCCESS,-1
88,240,7,408,10,0,1,1,512,1,443,3.579,2.349,SUCCESS,-1
88,240,7,408,10,0,1,1,1024,1,443,3.586,2.371,SUCCESS,-1
88,240,7,408,10,0,1,2,8,1,443,3.618,2.41,SUCCESS,-1
88,240,7,408,10,0,1,2,16,1,443,3.663,2.405,SUCCESS,-1
88,240,7,408,10,0,1,2,32,1,443,3.6,2.333,SUCCESS,-1
88,240,7,408,10,0,1,2,64,1,443,3.601,2.284,SUCCESS,-1
88,240,7,408,10,0,1,2,128,1,443,3.767,2.446,SUCCESS,-1
88,240,7,408,10,0,1,2,256,1,443,3.559,2.37,SUCCESS,-1
88,240,7,408,10,0,1,2,512,1,443,3.614,2.386,SUCCESS,-1
88,240,7,408,10,0,1,4,4,1,443,3.587,2.376,SUCCESS,-1
88,240,7,408,10,0,1,4,8,1,443,3.632,2.375,SUCCESS,-1
88,240,7,408,10,0,1,4,16,1,443,3.68,2.422,SUCCESS,-1
88,240,7,408,10,0,1,4,32,1,443,3.734,2.475,SUCCESS,-1
88,240,7,408,10,0,1,4,64,1,443,3.596,2.292,SUCCESS,-1
88,240,7,408,10,0,1,4,128,1,443,3.731,2.485,SUCCESS,-1
88,240,7,408,10,0,1,4,256,1,443,3.759,2.499,SUCCESS,-1
88,240,7,408,10,0,1,8,2,1,443,3.111,1.875,SUCCESS,-1
88,240,7,408,10,0,1,8,4,1,443,3.456,2.183,SUCCESS,-1
88,240,7,408,10,0,1,8,8,1,443,3.113,1.887,SUCCESS,-1
