96,1,20,46,46,46,6,6,46,46,46,6,6,46,46,46,6,6,46,46,46,6,6
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,FACET_COUNT,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
88,240,7,408,10,0,0,1,16,1,443,3.217,1.459,SUCCESS,-1
88,240,7,408,10,0,0,1,32,1,443,3.549,1.458,SUCCESS,-1
88,240,7,408,10,0,0,1,64,1,443,3.449,1.512,SUCCESS,-1
88,240,7,408,10,0,0,1,128,1,443,3.273,1.46,SUCCESS,-1
88,240,7,408,10,0,0,1,256,1,443,3.284,1.54,SUCCESS,-1
88,240,7,408,10,0,0,1,512,1,443,3.409,1.631,SUCCESS,-1
88,240,7,408,10,0,0,1,1024,1,443,18.17,16.188,SUCCESS,-1
88,240,7,408,10,0,0,2,8,1,443,3.317,1.638,SUCCESS,-1
88,240,7,408,10,0,0,2,16,1,443,2.866,0.878,SUCCESS,-1
88,240,7,408,10,0,0,2,32,1,443,2.671,0.952,SUCCESS,-1
88,240,7,408,10,0,0,2,64,1,443,2.748,0.879,SUCCESS,-1
88,240,7,408,10,0,0,2,128,1,443,2.898,0.981,SUCCESS,-1
88,240,7,408,10,0,0,2,256,1,443,2.849,1.085,SUCCESS,-1
88,240,7,408,10,0,0,2,512,1,443,11.403,9.5,SUCCESS,-1
88,240,7,408,10,0,0,4,4,1,443,3.328,1.559,SUCCESS,-1
88,240,7,408,10,0,0,4,8,1,443,2.8,1.091,SUCCESS,-1
88,240,7,408,10,0,0,4,16,1,443,2.727,0.793,SUCCESS,-1
88,240,7,408,10,0,0,4,32,1,443,2.547,0.826,SUCCESS,-1
88,240,7,408,10,0,0,4,64,1,443,2.616,0.811,SUCCESS,-1
88,240,7,408,10,0,0,4,128,1,443,2.879,1.1,SUCCESS,-1
88,240,7,408,10,0,0,4,256,1,443,8.299,6.407,SUCCESS,-1
88,240,7,408,10,0,0,8,2,1,443,3.524,1.807,SUCCESS,-1
88,240,7,408,10,0,0,8,4,1,443,3.084,1.134,SUCCESS,-1
88,240,7,408,10,0,0,8,8,1,443,3.078,1.316,SUCCESS,-1
88,240,7,408,10,0,0,8,16,1,443,2.694,1.015,SUCCESS,-1
88,240,7,408,10,0,0,8,32,1,443,2.69,0.996,SUCCESS,-1
88,240,7,408,10,0,0,8,64,1,443,3.289,1.178,SUCCESS,-1
88,240,7,408,10,0,0,8,128,1,443,6.517,4.616,SUCCESS,-1
88,240,7,408,10,0,0,16,1,1,443,6.357,2.585,SUCCESS,1
88,240,7,408,10,0,0,16,2,1,443,3.346,1.611,SUCCESS,-1
88,240,7,408,10,0,0,16,4,1,443,3.581,1.789,SUCCESS,-1
88,240,7,408,10,0,0,16,8,1,443,3.486,1.551,SUCCESS,-1
88,240,7,408,10,0,0,16,16,1,443,3.266,1.582,SUCCESS,-1
88,240,7,408,10,0,0,16,32,1,443,3.347,1.628,SUCCESS,-1
88,240,7,408,10,0,0,16,64,1,443,6.505,3.709,SUCCESS,-1
88,240,7,408,10,0,0,32,1,1,443,4.91,2.41,SUCCESS,-1
88,240,7,408,10,0,0,32,2,1,443,4.57,2.413,SUCCESS,-1
88,240,7,408,10,0,0,32,4,1,443,4.625,2.633,SUCCESS,-1
88,240,7,408,10,0,0,32,8,1,443,4.177,2.232,SUCCESS,-1
88,240,7,408,10,0,0,32,16,1,443,4.18,2.373,SUCCESS,-1
88,240,7,408,10,0,0,32,32,1,443,4.895,3.126,SUCCESS,-1
88,240,7,408,10,0,0,64,1,1,443,4.245,2.474,SUCCESS,-1
88,240,7,408,10,0,0,64,2,1,443,4.719,2.803,SUCCESS,-1
88,240,7,408,10,0,0,64,4,1,443,4.268,2.547,SUCCESS,-1
88,240,7,408,10,0,0,64,8,1,443,4.359,2.307,SUCCESS,-1
