96,1,20,46,46,46,6,6,46,46,46,6,6,46,46,46,6,6,46,46,46,6,6
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,FACET_COUNT,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
88,240,7,408,10,0,0,1,16,1,443,2.394,0.723,SUCCESS,-1
88,240,7,408,10,0,0,1,32,1,443,2.237,0.723,SUCCESS,-1
88,240,7,408,10,0,0,1,64,1,443,2.222,0.778,SUCCESS,-1
88,240,7,408,10,0,0,1,128,1,443,2.21,0.73,SUCCESS,-1
88,240,7,408,10,0,0,1,256,1,443,2.22,0.732,SUCCESS,-1
88,240,7,408,10,0,0,1,512,1,443,2.326,0.873,SUCCESS,-1
88,240,7,408,10,0,0,1,1024,1,443,9.287,7.371,SUCCESS,-1
88,240,7,408,10,0,0,2,8,1,443,2.503,0.809,SUCCESS,-1
88,240,7,408,10,0,0,2,16,1,443,2.207,0.454,SUCCESS,-1
88,240,7,408,10,0,0,2,32,1,443,2.075,0.49,SUCCESS,-1
88,240,7,408,10,0,0,2,64,1,443,2.119,0.464,SUCCESS,-1
88,240,7,408,10,0,0,2,128,1,443,2.232,0.467,SUCCESS,-1
88,240,7,408,10,0,0,2,256,1,443,2.134,0.643,SUCCESS,-1
88,240,7,408,10,0,0,2,512,1,443,6.363,4.417,SUCCESS,-1
88,240,7,408,10,0,0,4,4,1,443,2.153,0.72,SUCCESS,-1
88,240,7,408,10,0,0,4,8,1,443,2.135,0.559,SUCCESS,-1
88,240,7,408,10,0,0,4,16,1,443,2.026,0.37,SUCCESS,-1
88,240,7,408,10,0,0,4,32,1,443,1.93,0.373,SUCCESS,-1
88,240,7,408,10,0,0,4,64,1,443,2.11,0.477,SUCCESS,-1
88,240,7,408,10,0,0,4,128,1,443,2.11,0.642,SUCCESS,-1
88,240,7,408,10,0,0,4,256,1,443,4.351,2.884,SUCCESS,-1
88,240,7,408,10,0,0,8,2,1,443,2.301,0.801,SUCCESS,-1
88,240,7,408,10,0,0,8,4,1,443,2.067,0.585,SUCCESS,-1
88,240,7,408,10,0,0,8,8,1,443,2.497,0.62,SUCCESS,-1
88,240,7,408,10,0,0,8,16,1,443,2.339,0.55,SUCCESS,-1
88,240,7,408,10,0,0,8,32,1,443,1.952,0.507,SUCCESS,-1
88,240,7,408,10,0,0,8,64,1,443,2.171,0.597,SUCCESS,-1
88,240,7,408,10,0,0,8,128,1,443,3.667,2.057,SUCCESS,-1
88,240,7,408,10,0,0,16,1,1,443,3.11,1.185,SUCCESS,1
88,240,7,408,10,0,0,16,2,1,443,2.317,0.772,SUCCESS,-1
88,240,7,408,10,0,0,16,4,1,443,2.782,0.884,SUCCESS,-1
