9,1,25,8,8,11,11,11,11,46,46,46,46,46,46,46,1,4,46,4,4,4,1,1,1,1,1,1
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
88,240,7,200,0,0,1,1,1,408,1,140.247,140.138,SUCCESS,1
88,240,7,200,0,0,2,1,1,408,1,94.52,94.421,SUCCESS,-1
88,240,7,200,0,0,3,1,1,408,1,71.852,71.756,SUCCESS,-1
88,240,7,200,0,0,4,1,1,408,1,114.606,86.019,SUCCESS,-1
88,240,7,200,0,0,5,1,1,408,1,55.271,55.16,SUCCESS,-1
88,240,7,200,0,0,6,1,1,408,1,47.274,47.182,SUCCESS,-1
88,240,7,200,0,0,7,1,1,408,1,41.353,41.25,SUCCESS,-1
88,240,7,200,0,0,8,1,1,408,1,43.924,43.814,SUCCESS,-1
88,240,7,200,0,1,1,1,1,408,1,159.544,159.454,SUCCESS,-1
88,240,7,200,0,1,2,1,1,408,1,107.666,107.566,SUCCESS,-1
88,240,7,200,0,1,3,1,1,408,1,81.324,81.215,SUCCESS,-1
88,240,7,200,0,1,4,1,1,408,1,66.309,66.203,SUCCESS,-1
88,240,7,200,0,1,5,1,1,408,1,56.672,56.574,SUCCESS,-1
88,240,7,200,0,1,6,1,1,408,1,52.402,52.307,SUCCESS,-1
88,240,7,200,0,1,7,1,1,408,1,46.047,45.937,SUCCESS,-1
88,240,7,200,0,1,8,1,1,408,1,47.395,47.226,SUCCESS,-1
88,240,7,200,0,2,1,1,1,408,174,33.404,24.635,SUCCESS,-1
88,240,7,200,0,2,2,1,1,408,174,31.786,22.818,SUCCESS,-1
88,240,7,200,0,2,4,1,1,408,174,31.048,22.15,SUCCESS,-1
88,240,7,200,0,2,8,1,1,408,174,22.435,12.922,SUCCESS,-1
88,240,7,200,0,2,16,1,1,408,174,23.014,12.81,SUCCESS,-1
88,240,7,200,0,2,32,1,1,408,174,23.956,16.28,SUCCESS,-1
88,240,7,200,0,2,64,1,1,408,174,29.064,18.725,SUCCESS,-1
88,240,7,200,0,2,128,1,1,408,174,38.665,27.5,SUCCESS,-1
88,240,7,200,0,2,256,1,1,408,174,50.426,41.134,SUCCESS,-1
88,240,7,200,0,2,512,1,1,408,174,51.129,40.914,SUCCESS,-1
88,240,7,200,0,2,1024,1,1,408,174,49.213,40.412,SUCCESS,-1
88,240,7,200,0,3,1,1,1,408,330,27.06,23.242,SUCCESS,-1
88,240,7,200,0,3,2,1,1,408,330,24.107,20.35,SUCCESS,-1
88,240,7,200,0,3,4,1,1,408,330,23.493,19.567,SUCCESS,-1
88,240,7,200,0,3,8,1,1,408,330,19.121,14.495,SUCCESS,-1
88,240,7,200,0,3,16,1,1,408,330,19.521,15.031,SUCCESS,-1
88,240,7,200,0,3,32,1,1,408,330,20.831,15.957,SUCCESS,-1
88,240,7,200,0,3,64,1,1,408,330,22.009,17.966,SUCCESS,-1
88,240,7,200,0,3,128,1,1,408,330,30.028,25.379,SUCCESS,-1
88,240,7,200,0,3,256,1,1,408,330,39.973,35.605,SUCCESS,-1
88,240,7,200,0,3,512,1,1,408,330,59.026,54.107,SUCCESS,-1
88,240,7,200,0,3,1024,1,1,408,330,58.813,54.148,SUCCESS,-1
88,240,7,200,0,4,1,1,1,408,660,26.295,24.306,SUCCESS,-1
88,240,7,200,0,4,2,1,1,408,660,25.038,23.264,SUCCESS,-1
88,240,7,200,0,4,4,1,1,408,660,25.684,23.704,SUCCESS,-1
88,240,7,200,0,4,8,1,1,408,660,15.122,12.245,SUCCESS,-1
