9,1,25,8,8,11,11,11,11,46,46,46,46,46,46,46,1,6,46,6,6,6,1,1,1,1,1,1
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
88,240,7,200,0,0,1,1,1,408,1,201.593,201.487,SUCCESS,1
88,240,7,200,0,0,2,1,1,408,1,101.831,101.732,SUCCESS,-1
88,240,7,200,0,0,3,1,1,408,1,76.289,76.214,SUCCESS,-1
88,240,7,200,0,0,4,1,1,408,1,62.022,61.951,SUCCESS,-1
88,240,7,200,0,0,5,1,1,408,1,54.01,53.926,SUCCESS,-1
88,240,7,200,0,0,6,1,1,408,1,70.767,67.755,SUCCESS,-1
88,240,7,200,0,0,7,1,1,408,1,44.351,44.275,SUCCESS,-1
88,240,7,200,0,0,8,1,1,408,1,41.818,41.752,SUCCESS,-1
88,240,7,200,0,1,1,1,1,408,1,173.923,173.863,SUCCESS,-1
88,240,7,200,0,1,2,1,1,408,1,117.245,117.185,SUCCESS,-1
88,240,7,200,0,1,3,1,1,408,1,87.574,87.516,SUCCESS,-1
88,240,7,200,0,1,4,1,1,408,1,74.55,74.488,SUCCESS,-1
88,240,7,200,0,1,5,1,1,408,1,61.594,61.529,SUCCESS,-1
88,240,7,200,0,1,6,1,1,408,1,64.202,64.139,SUCCESS,-1
88,240,7,200,0,1,7,1,1,408,1,48.277,48.217,SUCCESS,-1
88,240,7,200,0,1,8,1,1,408,1,45.933,45.875,SUCCESS,-1
88,240,7,200,0,2,1,1,1,408,174,491.631,420.163,SUCCESS,-1
88,240,7,200,0,2,2,1,1,408,174,303.252,241.246,SUCCESS,-1
88,240,7,200,0,2,4,1,1,408,174,184.287,128.181,SUCCESS,-1
88,240,7,200,0,2,8,1,1,408,174,124.634,70.292,SUCCESS,-1
88,240,7,200,0,2,16,1,1,408,174,121.297,68.235,SUCCESS,-1
88,240,7,200,0,2,32,1,1,408,174,112.282,59.302,SUCCESS,-1
88,240,7,200,0,2,64,1,1,408,174,113.058,59.542,SUCCESS,-1
88,240,7,200,0,2,128,1,1,408,174,116.253,59.55,SUCCESS,-1
88,240,7,200,0,2,256,1,1,408,174,114.362,60.89,SUCCESS,-1
88,240,7,200,0,2,512,1,1,408,174,114.994,60.857,SUCCESS,-1
88,240,7,200,0,2,1024,1,1,408,174,113.548,60.87,SUCCESS,-1
88,240,7,200,0,3,1,1,1,408,330,441.864,406.236,SUCCESS,-1
88,240,7,200,0,3,2,1,1,408,330,268.164,233.786,SUCCESS,-1
88,240,7,200,0,3,4,1,1,408,330,180.738,151.5,SUCCESS,-1
88,240,7,200,0,3,8,1,1,408,330,129.432,102.092,SUCCESS,-1
88,240,7,200,0,3,16,1,1,408,330,107.648,81.366,SUCCESS,-1
88,240,7,200,0,3,32,1,1,408,330,129.763,103.754,SUCCESS,-1
88,240,7,200,0,3,64,1,1,408,330,135.861,103.732,SUCCESS,-1
88,240,7,200,0,3,128,1,1,408,330,137.077,104.297,SUCCESS,-1
88,240,7,200,0,3,256,1,1,408,330,134.384,104.853,SUCCESS,-1
88,240,7,200,0,3,512,1,1,408,330,167.206,135.593,SUCCESS,-1
88,240,7,200,0,3,1024,1,1,408,330,169.101,135.663,SUCCESS,-1
88,240,7,200,0,4,1,1,1,408,660,434.457,429.86,SUCCESS,-1
88,240,7,200,0,4,2,1,1,408,660,251.673,247.371,SUCCESS,-1
88,240,7,200,0,4,4,1,1,408,660,135.82,131.498,SUCCESS,-1
88,240,7,200,0,4,8,1,1,408,660,76.906,72.577,SUCCESS,-1
88,240,7,200,0,4,16,1,1,408,660,75.027,70.695,SUCCESS,-1
88,240,7,200,0,4,32,1,1,408,660,66.232,61.911,SUCCESS,-1
88,240,7,200,0,4,64,1,1,408,660,66.342,61.987,SUCCESS,-1
88,240,7,200,0,4,128,1,1,408,660,66.346,62.01,SUCCESS,-1
88,240,7,200,0,4,256,1,1,408,660,67.486,63.265,SUCCESS,-1
88,240,7,200,0,4,512,1,1,408,660,68.074,63.225,SUCCESS,-1
88,240,7,200,0,4,1024,1,1,408,660,68.275,63.226,SUCCESS,-1
88,240,7,200,0,5,1,1,1,408,660,217.437,214.583,SUCCESS,-1
88,240,7,200,0,5,2,1,1,408,660,134.537,131.891,SUCCESS,-1
88,240,7,200,0,5,4,1,1,408,660,83.307,77.609,SUCCESS,-1
88,240,7,200,0,5,8,1,1,408,660,55.553,52.809,SUCCESS,-1
88,240,7,200,0,5,16,1,1,408,660,68.404,65.782,SUCCESS,-1
88,240,7,200,0,5,32,1,1,408,660,99.793,97.143,SUCCESS,-1
88,240,7,200,0,5,64,1,1,408,660,99.884,97.273,SUCCESS,-1
88,240,7,200,0,5,128,1,1,408,660,100.024,97.368,SUCCESS,-1
88,240,7,200,0,5,256,1,1,408,660,106.965,104.291,SUCCESS,-1
88,240,7,200,0,5,512,1,1,408,660,138.573,135.914,SUCCESS,-1
88,240,7,200,0,5,1024,1,1,408,660,138.463,135.83,SUCCESS,-1
88,240,7,200,0,6,1,16,1,408,660,26.114,25.093,SUCCESS,-1
88,240,7,200,0,6,1,32,1,408,660,15.363,14.197,SUCCESS,-1
88,240,7,200,0,6,1,64,1,408,660,11.981,10.781,SUCCESS,-1
88,240,7,200,0,6,1,128,1,408,660,10.797,9.696,SUCCESS,-1
88,240,7,200,0,6,1,256,1,408,660,11.506,9.932,SUCCESS,-1
88,240,7,200,0,6,1,512,1,408,660,10.633,9.758,SUCCESS,-1
88,240,7,200,0,6,1,1024,1,408,660,17.011,16.022,SUCCESS,-1
88,240,7,200,0,6,2,8,1,408,660,30.01,28.86,SUCCESS,-1
88,240,7,200,0,6,2,16,1,408,660,17.745,16.657,SUCCESS,-1
88,240,7,200,0,6,2,32,1,408,660,15.824,14.83,SUCCESS,-1
88,240,7,200,0,6,2,64,1,408,660,15.318,14.29,SUCCESS,-1
88,240,7,200,0,6,2,128,1,408,660,15.042,14.079,SUCCESS,-1
88,240,7,200,0,6,2,256,1,408,660,14.956,14.129,SUCCESS,-1
88,240,7,200,0,6,2,512,1,408,660,15.722,14.75,SUCCESS,-1
88,240,7,200,0,6,4,4,1,408,660,36.039,35.042,SUCCESS,-1
88,240,7,200,0,6,4,8,1,408,660,25.817,21.426,SUCCESS,-1
88,240,7,200,0,6,4,16,1,408,660,21.723,20.657,SUCCESS,-1
88,240,7,200,0,6,4,32,1,408,660,21.443,20.461,SUCCESS,-1
88,240,7,200,0,6,4,64,1,408,660,21.558,20.581,SUCCESS,-1
88,240,7,200,0,6,4,128,1,408,660,21.738,20.705,SUCCESS,-1
88,240,7,200,0,6,4,256,1,408,660,22.601,21.716,SUCCESS,-1
88,240,7,200,0,6,8,2,1,408,660,45.062,44.108,SUCCESS,-1
88,240,7,200,0,6,8,4,1,408,660,29.808,28.791,SUCCESS,-1
88,240,7,200,0,6,8,8,1,408,660,29.596,28.662,SUCCESS,-1
88,240,7,200,0,6,8,16,1,408,660,29.901,28.892,SUCCESS,-1
88,240,7,200,0,6,8,32,1,408,660,30.051,28.99,SUCCESS,-1
88,240,7,200,0,6,8,64,1,408,660,30.124,29.152,SUCCESS,-1
88,240,7,200,0,6,8,128,1,408,660,30.841,29.603,SUCCESS,-1
88,240,7,200,0,6,16,1,1,408,660,60.546,59.56,SUCCESS,-1
88,240,7,200,0,6,16,2,1,408,660,40.037,38.986,SUCCESS,-1
88,240,7,200,0,6,16,4,1,408,660,40.01,38.944,SUCCESS,-1
88,240,7,200,0,6,16,8,1,408,660,40.42,39.475,SUCCESS,-1
88,240,7,200,0,6,16,16,1,408,660,40.887,39.81,SUCCESS,-1
88,240,7,200,0,6,16,32,1,408,660,40.959,39.833,SUCCESS,-1
88,240,7,200,0,6,16,64,1,408,660,42.208,41.221,SUCCESS,-1
88,240,7,200,0,6,32,1,1,408,660,55.865,54.866,SUCCESS,-1
88,240,7,200,0,6,32,2,1,408,660,55.742,54.708,SUCCESS,-1
88,240,7,200,0,6,32,4,1,408,660,55.908,54.897,SUCCESS,-1
88,240,7,200,0,6,32,8,1,408,660,56.016,55.169,SUCCESS,-1
88,240,7,200,0,6,32,16,1,408,660,56.442,55.393,SUCCESS,-1
88,240,7,200,0,6,32,32,1,408,660,56.531,55.544,SUCCESS,-1
88,240,7,200,0,6,64,1,1,408,660,56.537,55.514,SUCCESS,-1
88,240,7,200,0,6,64,2,1,408,660,55.926,54.928,SUCCESS,-1
88,240,7,200,0,6,64,4,1,408,660,56.554,55.529,SUCCESS,-1
88,240,7,200,0,6,64,8,1,408,660,58.791,57.737,SUCCESS,-1
88,240,7,200,0,6,64,16,1,408,660,59.553,58.475,SUCCESS,-1
88,240,7,200,0,7,1,16,1,408,660,29.816,28.798,SUCCESS,-1
88,240,7,200,0,7,1,32,1,408,660,17.355,16.351,SUCCESS,-1
88,240,7,200,0,7,1,64,1,408,660,12.613,11.476,SUCCESS,-1
88,240,7,200,0,7,1,128,1,408,660,10.766,9.72,SUCCESS,-1
88,240,7,200,0,7,1,256,1,408,660,10.867,9.861,SUCCESS,-1
88,240,7,200,0,7,1,512,1,408,660,11.043,9.954,SUCCESS,-1
88,240,7,200,0,7,1,1024,1,408,660,19.44,18.331,SUCCESS,-1
88,240,7,200,0,7,2,8,1,408,660,33.498,32.52,SUCCESS,-1
