9,1,25,8,8,10,10,10,10,39,39,39,39,39,39,39,1,7,39,7,7,7,1,1,1,1,1,1
IMAGE_WIDTH,IMAGE_HEIGHT,FACET_SIZE,DEFORMATION_COUNT,TEST_CASE,VARIANT,LWS0,LWS1,LWS_SUB,FACET_COUNT,DATASIZE,Total time [ms],Kernel time [ms],Status,Result Group
88,240,7,200,0,0,1,1,1,408,1,554.529,546.728,SUCCESS,1
88,240,7,200,0,0,2,1,1,408,1,141.604,141.446,SUCCESS,-1
88,240,7,200,0,0,3,1,1,408,1,100.553,100.478,SUCCESS,-1
88,240,7,200,0,0,4,1,1,408,1,63.253,63.168,SUCCESS,-1
88,240,7,200,0,0,5,1,1,408,1,60.132,60.063,SUCCESS,-1
88,240,7,200,0,0,6,1,1,408,1,110.87,110.799,SUCCESS,-1
88,240,7,200,0,0,7,1,1,408,1,45.73,45.656,SUCCESS,-1
88,240,7,200,0,0,8,1,1,408,1,41.849,41.777,SUCCESS,-1
88,240,7,200,0,1,1,1,1,408,1,183.571,183.501,SUCCESS,-1
88,240,7,200,0,1,2,1,1,408,1,119.54,119.468,SUCCESS,-1
88,240,7,200,0,1,3,1,1,408,1,92.876,92.8,SUCCESS,-1
88,240,7,200,0,1,4,1,1,408,1,71.783,71.709,SUCCESS,-1
88,240,7,200,0,1,5,1,1,408,1,65.009,64.939,SUCCESS,-1
88,240,7,200,0,1,6,1,1,408,1,57.875,57.796,SUCCESS,-1
88,240,7,200,0,1,7,1,1,408,1,48.643,48.565,SUCCESS,-1
88,240,7,200,0,1,8,1,1,408,1,46.336,46.266,SUCCESS,-1
88,240,7,200,0,2,1,1,1,408,174,1198.4,164.557,SUCCESS,-1
88,240,7,200,0,2,2,1,1,408,174,899.632,115.858,SUCCESS,-1
88,240,7,200,0,2,4,1,1,408,174,789.989,82.997,SUCCESS,-1
88,240,7,200,0,2,8,1,1,408,174,831.527,58.334,SUCCESS,-1
88,240,7,200,0,2,16,1,1,408,174,761.981,59.032,SUCCESS,-1
88,240,7,200,0,2,32,1,1,408,174,804.949,58.34,SUCCESS,-1
88,240,7,200,0,2,64,1,1,408,174,737.615,59.419,SUCCESS,-1
88,240,7,200,0,2,128,1,1,408,174,788.242,58.605,SUCCESS,-1
88,240,7,200,0,2,256,1,1,408,174,768.843,75.374,SUCCESS,-1
88,240,7,200,0,2,512,1,1,408,174,808.728,75.26,SUCCESS,-1
88,240,7,200,0,3,1,1,1,408,330,313412.763,342.256,SUCCESS,-1
88,240,7,200,0,3,2,1,1,408,330,598.01,193.575,SUCCESS,-1
88,240,7,200,0,3,4,1,1,408,330,530.691,164.082,SUCCESS,-1
88,240,7,200,0,3,8,1,1,408,330,478.955,139.456,SUCCESS,-1
88,240,7,200,0,3,16,1,1,408,330,539.004,140.29,SUCCESS,-1
88,240,7,200,0,3,32,1,1,408,330,502.341,142.395,SUCCESS,-1
88,240,7,200,0,3,64,1,1,408,330,503.469,139.787,SUCCESS,-1
88,240,7,200,0,3,128,1,1,408,330,501.586,117.434,SUCCESS,-1
88,240,7,200,0,3,256,1,1,408,330,470.568,118.25,SUCCESS,-1
88,240,7,200,0,3,512,1,1,408,330,515.598,146.028,SUCCESS,-1
88,240,7,200,0,4,1,1,1,408,660,492.907,159.818,SUCCESS,-1
88,240,7,200,0,4,2,1,1,408,660,435.828,111.774,SUCCESS,-1
88,240,7,200,0,4,4,1,1,408,660,393.622,79.869,SUCCESS,-1
88,240,7,200,0,4,8,1,1,408,660,377.167,56.45,SUCCESS,-1
88,240,7,200,0,4,16,1,1,408,660,349.003,57.641,SUCCESS,-1
88,240,7,200,0,4,32,1,1,408,660,366.647,56.377,SUCCESS,-1
88,240,7,200,0,4,64,1,1,408,660,350.048,56.896,SUCCESS,-1
88,240,7,200,0,4,128,1,1,408,660,366.406,57.324,SUCCESS,-1
88,240,7,200,0,4,256,1,1,408,660,390.983,74.16,SUCCESS,-1
88,240,7,200,0,4,512,1,1,408,660,385.994,75.096,SUCCESS,-1
88,240,7,200,0,5,1,1,1,408,660,-0,161.042,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,2,1,1,408,660,-0,90.706,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,4,1,1,408,660,-0,57.479,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,8,1,1,408,660,-0,41.48,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,16,1,1,408,660,-0,44.207,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,32,1,1,408,660,-0,49.06,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,64,1,1,408,660,-0,58.049,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,128,1,1,408,660,-0,57.543,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,256,1,1,408,660,-0,72.358,WRONG_RESULT_FIXED,0
88,240,7,200,0,5,512,1,1,408,660,169.204,137.266,SUCCESS,-1
88,240,7,200,0,6,1,16,1,408,660,79.424,73.066,SUCCESS,-1
88,240,7,200,0,6,1,32,1,408,660,75.066,67.679,SUCCESS,-1
88,240,7,200,0,6,1,64,1,408,660,71.899,64.536,SUCCESS,-1
88,240,7,200,0,6,1,128,1,408,660,67.713,60.492,SUCCESS,-1
88,240,7,200,0,6,1,256,1,408,660,60.777,54.052,SUCCESS,-1
88,240,7,200,0,6,1,512,1,408,660,56.919,49.71,SUCCESS,-1
88,240,7,200,0,6,2,8,1,408,660,89.106,83.284,SUCCESS,-1
88,240,7,200,0,6,2,16,1,408,660,83.336,75.74,SUCCESS,-1
88,240,7,200,0,6,2,32,1,408,660,76.723,69.839,SUCCESS,-1
88,240,7,200,0,6,2,64,1,408,660,72.562,65.381,SUCCESS,-1
88,240,7,200,0,6,2,128,1,408,660,69.825,62.161,SUCCESS,-1
88,240,7,200,0,6,2,256,1,408,660,72.362,55.835,SUCCESS,-1
88,240,7,200,0,6,4,4,1,408,660,154.468,105.313,SUCCESS,-1
88,240,7,200,0,6,4,8,1,408,660,98.401,91.001,SUCCESS,-1
88,240,7,200,0,6,4,16,1,408,660,87.381,79.924,SUCCESS,-1
88,240,7,200,0,6,4,32,1,408,660,74.854,68.356,SUCCESS,-1
88,240,7,200,0,6,4,64,1,408,660,95.684,69.409,SUCCESS,-1
88,240,7,200,0,6,4,128,1,408,660,70.503,63.417,SUCCESS,-1
88,240,7,200,0,6,8,2,1,408,660,177.436,151.305,SUCCESS,-1
88,240,7,200,0,6,8,4,1,408,660,135.554,128.009,SUCCESS,-1
88,240,7,200,0,6,8,8,1,408,660,112.743,105.349,SUCCESS,-1
88,240,7,200,0,6,8,16,1,408,660,92.06,84.743,SUCCESS,-1
88,240,7,200,0,6,8,32,1,408,660,89.053,81.758,SUCCESS,-1
88,240,7,200,0,6,8,64,1,408,660,80.361,73.86,SUCCESS,-1
88,240,7,200,0,6,16,1,1,408,660,212.833,166.541,SUCCESS,-1
88,240,7,200,0,6,16,2,1,408,660,162.037,154.381,SUCCESS,-1
88,240,7,200,0,6,16,4,1,408,660,142.367,136.074,SUCCESS,-1
88,240,7,200,0,6,16,8,1,408,660,117.845,110.431,SUCCESS,-1
88,240,7,200,0,6,16,16,1,408,660,117.416,96.26,SUCCESS,-1
88,240,7,200,0,6,16,32,1,408,660,100.158,93.129,SUCCESS,-1
88,240,7,200,0,6,32,1,1,408,660,172.479,165.796,SUCCESS,-1
88,240,7,200,0,6,32,2,1,408,660,166.819,158.528,SUCCESS,-1
88,240,7,200,0,6,32,4,1,408,660,144.348,137.598,SUCCESS,-1
88,240,7,200,0,6,32,8,1,408,660,131.318,123.931,SUCCESS,-1
88,240,7,200,0,6,32,16,1,408,660,124.338,117.508,SUCCESS,-1
88,240,7,200,0,6,64,1,1,408,660,168.135,160.551,SUCCESS,-1
88,240,7,200,0,6,64,2,1,408,660,155.274,148.347,SUCCESS,-1
88,240,7,200,0,6,64,4,1,408,660,157.723,144.7,SUCCESS,-1
88,240,7,200,0,6,64,8,1,408,660,147.128,140.998,SUCCESS,-1
88,240,7,200,0,7,1,16,1,408,660,89.291,82.416,SUCCESS,-1
88,240,7,200,0,7,1,32,1,408,660,83.769,76.665,SUCCESS,-1
88,240,7,200,0,7,1,64,1,408,660,80.203,73.325,SUCCESS,-1
88,240,7,200,0,7,1,128,1,408,660,76.339,69.543,SUCCESS,-1
88,240,7,200,0,7,1,256,1,408,660,73.171,59.482,SUCCESS,-1
88,240,7,200,0,7,1,512,1,408,660,64.481,57.442,SUCCESS,-1
88,240,7,200,0,7,2,8,1,408,660,102.168,94.649,SUCCESS,-1
88,240,7,200,0,7,2,16,1,408,660,92.849,85.848,SUCCESS,-1
88,240,7,200,0,7,2,32,1,408,660,85.77,78.39,SUCCESS,-1
88,240,7,200,0,7,2,64,1,408,660,79.864,72.845,SUCCESS,-1
88,240,7,200,0,7,2,128,1,408,660,78.575,71.472,SUCCESS,-1
88,240,7,200,0,7,2,256,1,408,660,69.578,62.368,SUCCESS,-1
88,240,7,200,0,7,4,4,1,408,660,121.336,114.028,SUCCESS,-1
88,240,7,200,0,7,4,8,1,408,660,111.905,104.589,SUCCESS,-1
88,240,7,200,0,7,4,16,1,408,660,99.382,92.147,SUCCESS,-1
88,240,7,200,0,7,4,32,1,408,660,90.031,82.488,SUCCESS,-1
88,240,7,200,0,7,4,64,1,408,660,87.609,80.61,SUCCESS,-1
88,240,7,200,0,7,4,128,1,408,660,79.079,71.883,SUCCESS,-1
88,240,7,200,0,7,8,2,1,408,660,173.608,165.657,SUCCESS,-1
88,240,7,200,0,7,8,4,1,408,660,151.613,145.386,SUCCESS,-1
88,240,7,200,0,7,8,8,1,408,660,162.772,118.864,SUCCESS,-1
88,240,7,200,0,7,8,16,1,408,660,104.498,97.298,SUCCESS,-1
88,240,7,200,0,7,8,32,1,408,660,100.025,92.896,SUCCESS,-1
88,240,7,200,0,7,8,64,1,408,660,97.396,89.924,SUCCESS,-1
88,240,7,200,0,7,16,1,1,408,660,200.279,190.857,SUCCESS,-1
88,240,7,200,0,7,16,2,1,408,660,211.537,176.386,SUCCESS,-1
88,240,7,200,0,7,16,4,1,408,660,165.971,153.858,SUCCESS,-1
88,240,7,200,0,7,16,8,1,408,660,130.536,123.4,SUCCESS,-1
88,240,7,200,0,7,16,16,1,408,660,119.141,113.154,SUCCESS,-1
88,240,7,200,0,7,16,32,1,408,660,117.434,108.53,SUCCESS,-1
88,240,7,200,0,7,32,1,1,408,660,217.336,189.789,SUCCESS,-1
88,240,7,200,0,7,32,2,1,408,660,187.302,179.058,SUCCESS,-1
88,240,7,200,0,7,32,4,1,408,660,165.417,158.535,SUCCESS,-1
88,240,7,200,0,7,32,8,1,408,660,155.168,135.305,SUCCESS,-1
88,240,7,200,0,7,32,16,1,408,660,141.953,134.491,SUCCESS,-1
88,240,7,200,0,7,64,1,1,408,660,190.495,183.594,SUCCESS,-1
88,240,7,200,0,7,64,2,1,408,660,171.324,162.85,SUCCESS,-1
88,240,7,200,0,7,64,4,1,408,660,163.57,155.317,SUCCESS,-1
88,240,7,200,0,7,64,8,1,408,660,169.365,160.692,SUCCESS,-1
88,240,7,200,0,8,1,16,1,408,687,77.123,69.888,SUCCESS,-1
88,240,7,200,0,8,1,32,1,408,687,77.009,69.853,SUCCESS,-1
88,240,7,200,0,8,1,64,1,408,687,75.771,68.717,SUCCESS,-1
88,240,7,200,0,8,1,128,1,408,687,72.814,65.578,SUCCESS,-1
88,240,7,200,0,8,1,256,1,408,687,60.64,53.129,SUCCESS,-1
88,240,7,200,0,8,1,512,1,408,687,69.571,51.623,SUCCESS,-1
88,240,7,200,0,8,2,8,1,408,687,80.324,72.936,SUCCESS,-1
88,240,7,200,0,8,2,16,1,408,687,77.462,70.31,SUCCESS,-1
88,240,7,200,0,8,2,32,1,408,687,114.737,68.95,SUCCESS,-1
88,240,7,200,0,8,2,64,1,408,687,74.266,67.395,SUCCESS,-1
88,240,7,200,0,8,2,128,1,408,687,80.792,65.253,SUCCESS,-1
88,240,7,200,0,8,2,256,1,408,687,59.069,51.937,SUCCESS,-1
88,240,7,200,0,8,4,4,1,408,687,87.164,79.655,SUCCESS,-1
88,240,7,200,0,8,4,8,1,408,687,82.596,75.45,SUCCESS,-1
88,240,7,200,0,8,4,16,1,408,687,94.749,71.551,SUCCESS,-1
88,240,7,200,0,8,4,32,1,408,687,76.288,68.909,SUCCESS,-1
88,240,7,200,0,8,4,64,1,408,687,77.215,70.075,SUCCESS,-1
88,240,7,200,0,8,4,128,1,408,687,68.239,60.956,SUCCESS,-1
88,240,7,200,0,8,8,2,1,408,687,101.05,93.757,SUCCESS,-1
88,240,7,200,0,8,8,4,1,408,687,112.992,84.723,SUCCESS,-1
88,240,7,200,0,8,8,8,1,408,687,124.209,78.905,SUCCESS,-1
88,240,7,200,0,8,8,16,1,408,687,80.22,72.775,SUCCESS,-1
88,240,7,200,0,8,8,32,1,408,687,80.998,74.104,SUCCESS,-1
88,240,7,200,0,8,8,64,1,408,687,78.785,71.322,SUCCESS,-1
88,240,7,200,0,8,16,1,1,408,687,133.169,101.498,SUCCESS,-1
88,240,7,200,0,8,16,2,1,408,687,101.486,94.301,SUCCESS,-1
88,240,7,200,0,8,16,4,1,408,687,143.977,83.953,SUCCESS,-1
88,240,7,200,0,8,16,8,1,408,687,86.788,79.551,SUCCESS,-1
88,240,7,200,0,8,16,16,1,408,687,85.054,77.401,SUCCESS,-1
88,240,7,200,0,8,16,32,1,408,687,84.366,77.104,SUCCESS,-1
88,240,7,200,0,8,32,1,1,408,687,107.94,100.493,SUCCESS,-1
88,240,7,200,0,8,32,2,1,408,687,102.147,94.637,SUCCESS,-1
88,240,7,200,0,8,32,4,1,408,687,95.415,88.077,SUCCESS,-1
88,240,7,200,0,8,32,8,1,408,687,90.105,82.677,SUCCESS,-1
88,240,7,200,0,8,32,16,1,408,687,92.052,84.553,SUCCESS,-1
88,240,7,200,0,8,64,1,1,408,687,82.672,75.486,SUCCESS,-1
88,240,7,200,0,8,64,2,1,408,687,97.051,89.443,SUCCESS,-1
88,240,7,200,0,8,64,4,1,408,687,98.798,91.715,SUCCESS,-1
88,240,7,200,0,8,64,8,1,408,687,128.246,91.864,SUCCESS,-1
